eTFC1	eTFC2	eTFC3	eTFC4	eTFC5	eTHC1	eTHC2	eTHC3	eTHC4	eTHC5	lTFC1	lTFC2	lTFC3	lTFC4	lTFC5	lTHC1	lTHC2	lTHC3	lTHC4	lTHC5
ZPLD1	0.325686024800537	-0.115172871648473	0.122561648000282	-0.175247298543819	-0.157827502608527	-0.185519447646082	0.379374677832313	-0.185519447646082	-0.185519447646082	0.177183665105932	0.139910575427002	-0.0515096419750777	0.0398905635445854	-0.088800756231416	-0.0394907407650937	-0.397364548063559	0.350690681180913	0.244662967701926	-0.397364548063559	0.19937544724428
ZNF521	-0.815484464111009	-0.215577623432134	0.0549463630144338	0.346934286718916	0.629181437809795	-1.03666112030649	-0.18081397209709	0.289139326213689	0.124656836934943	0.803678929254948	-0.149319331504467	-0.302676969462141	0.337959087660487	0.460045004828432	-0.346007791522309	-0.373710230591534	-0.213437180526851	0.250388299480193	0.172604928136218	0.164154183501978
ZNF507	0.0868160891770646	-0.506824029614996	0.323827850244489	0.0914709486339857	0.00470914155945712	-0.0727308943078322	0.0753740094004334	0.0236650271653756	0.111122941376395	-0.137431083634373	-0.361298389294846	0.0950294217515451	0.0729567177108468	0.424604473572528	-0.231292223740073	0.245102752080515	-0.321007737761724	-0.0172935080356322	0.142220088463153	-0.0490215947463115
ZNF423	-1.38191237449423	-0.951556255473573	0.0239501197589345	1.02518231693663	1.28433619327224	-1.2532538732853	-0.457730821778101	0.118522643629461	0.779289224476702	0.813172826957237	-1.00209523950269	-0.486059101043256	0.114821647963149	0.686881449399591	0.686451243183201	-0.953481943397748	-0.179968254195851	0.18153280017393	0.508223326187055	0.443694071232612
ZMYND11	-0.191391110968997	0.0957231533993497	0.202474204828286	-0.101538122877105	-0.00526812438153446	0.115143304625023	-0.025126676301368	0.143817390981516	0.0469801196704323	-0.280814138975602	-0.223800641600092	0.0944248803179919	0.11023295095233	0.293564453117159	-0.27442164278739	0.299667222006188	-0.153318459779225	0.199308275978209	-0.188974490679839	-0.156682547525334
ZMYM3	-0.22133199841111	-0.627225050620845	0.459299234169814	0.194604993220628	0.194652821641515	-0.229197363753626	0.0449837831737021	0.212647372917601	-0.10286406295517	0.0744302706174906	-0.16906219444238	0.0629373546531218	-0.0163158779468802	0.110380481984196	0.0120602357519424	0.140549021240016	-0.0726088375018499	0.0507493773876968	-0.0531356826161389	-0.0655538785097249
ZMIZ1	-0.442409006861501	-1.73073377795533	0.975407152338093	0.631194920957702	0.566540711521039	-0.515011711126833	0.223097822429537	0.180685079942899	-0.689696367487736	0.80092517624213	-0.331256568362843	-0.391880203961234	0.494917889473347	0.229558395011786	-0.00133951216105643	0.0510653144650437	0.42237910256239	0.062660643062797	-0.450040336277096	-0.0860647238131378
ZIC2	1.4378913065573	1.45606161573036	-0.434735150161066	-3.66872080835793	1.20950303623134	1.78030527347438	2.19459227498448	-0.75379714361174	-3.27444044000057	0.0533400351534468	2.30675977690221	0.472035998175159	-1.02715626616016	-1.947171808871	0.195532299953788	1.70798802820477	1.24454405453502	-0.303981013894327	-2.17199363609365	-0.476557432751822
ZHX3	0.0471520249366844	-0.243871896940995	0.174811270676827	0.146945364232151	-0.125036762904666	-0.0811285048483432	0.0825536201903034	0.253125138801561	0.0336348915383171	-0.28818514568184	-0.598102394137203	-0.044023146941603	0.250266069890082	0.425633907287073	-0.0337744360983478	-0.0900431454960398	-0.0272515046305388	-0.501310591882758	0.0994928750609745	0.519112366948361
ZFP64	-0.0888689642440665	-0.426577481054222	0.256084578210918	-0.0183911419250204	0.277753009012391	0.112978024641031	-0.0589821551124716	-0.158608037831443	-0.0846593728940226	0.189271541196907	-0.43372242567337	0.296408299848012	-0.0808293813398109	0.202294979813806	0.0158485273513644	-0.413850974666175	0.303867158471151	0.0971592767462388	-0.22945632806958	0.242280867518366
ZFHX4	0.587683331757803	-0.200970483284923	0.573899398143896	-0.0777054561280952	-0.88290679048868	0.931979260529149	0.455647106429336	0.212835179242785	-0.633591982254423	-0.966869563946848	-0.422526366069302	-0.229106385896622	-0.166101847853264	0.401454417288221	0.416280182530966	0.565616926487107	-0.854097834182512	-0.127872212630415	-0.0301318986262498	0.446485018952068
