eOFC2	eOFC3	eOFC4	eOHC1	eOHC2	eOHC3	eOHC4	eOHC5	lOFC2	lOFC3	lOFC4	lOHC1	lOHC2	lOHC3	lOHC4	lOHC5
ZPLD1	0.170621563638026	-0.272096898839968	0.101475335201943	-0.087909752206113	0.0155016194787208	-0.490502643558474	0.111022239333145	0.451888536952721	-0.809158848259434	-0.241669171280058	1.05082801953949	-0.24918772582953	0.525454800605631	0.17941728836021	-0.215204346889383	-0.240480016246928
ZNF521	-2.04782285916276	1.1707333286635	0.877089530499262	-1.07643915764307	0.0771737217024882	0.75858940190732	0.942365429049355	-0.701689395016089	-1.75651698200337	1.17444898572168	0.582067996281683	-3.86247001168464	2.31639747819668	1.66166012611415	1.60248195713911	-1.71806954976531
ZNF507	-0.0937696671257804	0.207446623431154	-0.113676956305374	-0.273244314643484	0.20638310431127	0.318892841096227	0.102577458086989	-0.354609088851003	-0.609373354222312	0.334240466870645	0.275132887351669	-0.729539141420767	0.463645606708659	0.624797567034816	0.160288791540956	-0.519192823863662
ZNF423	0.481790206913796	-0.62816234118333	0.146372134269532	1.01579635321652	-0.78799430572839	-0.65499089239009	-0.832662333449091	1.25985117835106	-0.731359419380752	0.287811750418063	0.443547668962687	-1.66143942544686	0.955535115097229	0.585194862494422	0.903180055165343	-0.782470607310128
ZMYND11	-0.179827608881519	0.420103595881166	-0.240275986999649	0.30277373391805	-0.176522710090682	0.463404826959623	0.364547119649279	-0.95420297043627	-0.669467710179605	0.205717600470619	0.463750109708986	-0.146410083431752	-0.0991127900118354	-0.537177908244182	0.720796007939617	0.0619047737481502
ZMYM3	0.226351890576572	0.102144219075354	-0.328496109651925	0.362622809715801	-0.749633481548193	0.138432333060504	-0.109609944568186	0.358188283340074	-0.371617084842728	0.2165278171339	0.155089267708828	0.547114045731872	-0.261168737895077	-0.474649967225895	-0.0714513718933798	0.260156031282482
ZMIZ1	-0.102156802194944	0.111223042717493	-0.00906624052254923	-0.488688524635215	-0.327235450719376	0.9810138166562	-0.416008583665566	0.250918742363956	-1.32573651621683	0.764740741989906	0.560995774226919	-0.393532751613346	-0.272991530310338	0.269697722791579	0.293305340876858	0.103521218255249
ZIC2	0.242859828586661	-0.145519488931806	-0.0973403396548554	2.28204846400829	-0.569466084611473	-0.916314450191879	-1.81152493828951	1.01525700908457	-6.0619826190269	-0.469950412168833	6.53193303119573	-0.512093446928391	-0.512093446928391	0.826766359772819	-0.512093446928391	0.709513981012353
ZHX3	-0.262149408744731	0.0588115600142107	0.20333784873052	-0.162071218004104	-0.0412384004787474	0.0793228512637765	-0.388802818379836	0.512789585598911	-0.504756752580055	0.293804988750884	0.21095176382917	-0.400318283214175	-0.0637250473779607	0.280293073486714	0.239097546508317	-0.0553472894028948
ZFP64	0.0691617102616409	0.0429387839291842	-0.112100494190825	0.131880355585206	-0.0641144377061664	-0.114802683072623	-0.308663849119795	0.355700614313376	0.134781827462657	-0.034472541779639	-0.100309285683018	-0.0346130071562385	0.171330860640566	-0.227486780239534	0.599996235259836	-0.509227308504627
