eEFC2	eEFC3	eEFC4	eEHC2	eEHC3	eEHC4	lEFC2	lEFC3	lEFC4	lEHC2	lEHC3	lEHC4
ZPLD1	0.460867804761643	-0.981573055065895	0.520705250304252	-0.318585129529201	0.0584473055094179	0.260137824019783	-0.257453024709118	-0.00678624914281234	0.26423927385193	-0.376255684914661	0.155116852320796	0.221138832593865
ZNF521	-1.14520937729212	-0.10958757787046	1.25479695516258	-2.27278713728899	0.398757231943026	1.87402990534597	-2.3137794571185	-1.1008057975448	3.4145852546633	-1.26705278526567	0.731649161437383	0.535403623828284
ZNF507	-0.0642319747321434	0.236959081934243	-0.1727271072021	-0.0509585975091955	0.110109505511773	-0.0591509080025787	0.0022495320898237	-0.257411001367399	0.255161469277576	-0.541560527291332	-0.0547713225952871	0.596331849886619
ZNF423	0.0598134279750724	-1.30415921287104	1.24434578489597	1.52298485477803	-1.5069758749877	-0.0160089797903389	1.12042529324909	-1.90322555288213	0.782800259633035	-0.758695206563804	-0.049205717155882	0.807900923719689
ZMYND11	0.13444594999445	-0.170380506970951	0.0359345569765015	0.0619635815040436	-0.331662178602588	0.269698597098543	-0.0259794492412979	-0.0271832544688273	0.053162703710127	-0.131608139971542	-0.0670971965795744	0.198705336551114
ZMYM3	-0.23527934340213	-0.0607531751823984	0.296032518584527	0.192830558281897	0.0150501160467318	-0.20788067432863	-0.313611798724215	0.264048462436815	0.0495633362873988	-0.245635357190221	-0.146641278074497	0.392276635264719
ZMIZ1	-0.475886398351692	-0.577836782828472	1.05372318118016	-0.364573245094432	-0.358276325525113	0.722849570619546	-0.759851401606426	-0.44551558738763	1.20536698899405	-0.420740823838518	-0.302537521504092	0.723278345342612
ZIC2	1.09679385934473	-2.12127789499086	1.02448403564613	0.567519886883145	-2.92729158691203	2.35977170002888	2.85786907010121	0.509782343015012	-3.36765141311622	-0.563339303563841	-0.759976434721638	1.32331573828548
ZHX3	0.17292703371239	0.0346182749250179	-0.207545308637409	0.0734479833342232	-0.17614731715276	0.102699333818538	0.865073613832132	-0.354123229103734	-0.510950384728398	-0.0837357228236293	-0.124055454499191	0.20779117732282
ZFP64	0.358877273043645	0.0555009587225159	-0.414378231766161	0.0291068614239363	0.0891178926144676	-0.118224754038404	0.142935688922866	-0.10990600619803	-0.0330296827248349	-0.403733923852954	-0.0092948156111694	0.413028739464124
ZFHX4	2.29555812394863	-0.821644745440254	-1.47391337850838	0.456639257765767	-0.197336539845171	-0.259302717920596	0.0597415451680625	-1.08239574593608	1.02265420076801	-0.400411278200719	-0.120992813001545	0.521404091202262
ZFHX3	0.421456534806378	0.0125512836952666	-0.434007818501645	-0.981057304084334	-0.605682152377491	1.58673945646182	-1.10382760987423	-0.464634650638932	1.56846226051316	-1.28680346375966	0.0716137836649793	1.21518968009468
ZFAND5	-1.54920714901425	0.382997572428858	1.16620957658539	-0.23032654005391	0.267755056368818	-0.0374285163149084	-0.137584801810937	0.206573855987774	-0.0689890541768374	-0.140946944495935	0.0456464049875809	0.0953005395083539
ZEB2	0.57866175749507	-0.548932960009337	-0.0297287974857339	-1.46813651406009	1.0415588510004	0.426577663059694	-0.9993008666282	0.960137956105294	0.0391629105229061	-0.00440821043490303	-0.126707449936825	0.131115660371723
ZEB1	-0.848260977209279	-0.289530897169299	1.13779187437858	-0.549448002503967	0.0940946021979086	0.455353400306058	0.345800106994994	-0.397328877379931	0.0515287703849383	-0.0342144357704015	-0.226359449751047	0.260573885521448
ZDHHC8	-0.298919558816048	-0.142722594850752	0.441642153666799	-0.773729590736832	0.491902212693665	0.281827378043167	0.423430487721047	-0.410979071323879	-0.0124514163971696	-0.127308476157233	0.124549639453685	0.00275883670354826
ZDHHC13	0.566323904088747	-0.141168271606588	-0.425155632482157	-0.253861755724169	-0.0301053507388493	0.283967106463018	-0.500276678282242	0.693200467216974	-0.192923788934732	0.059856626005093	-0.536569771681457	0.476713145676364
ZC3H7A	-0.482556222541754	0.247110367312477	0.235445855229275	-0.213874188872269	0.273890758622187	-0.0600165697499184	-0.261526277730717	0.0519552833624175	0.209570994368299	-0.285758379252297	0.0120594117971597	0.273698967455138
ZC3H18	-0.707983448747862	0.354828428855306	0.353155019892558	0.39194542454748	0.467143144622989	-0.859088569170469	-0.0276635639213438	-0.132629184380132	0.160292748301474	-0.0828678921087853	-0.0475956791421392	0.130463571250925
ZBTB34	0.197124119296764	-0.0403779408026166	-0.156746178494148	-0.261013748011218	0.264464911173635	-0.00345116316241612	-0.0815175225834572	-0.312238594531706	0.393756117115164	-0.291905698033067	0.0840826237549521	0.207823074278114
ZBTB20	-0.127628642292133	-0.127628642292133	0.255257284584267	0.206875409304471	-0.299050261125484	0.0921748518210134	-0.16418991138313	-0.16418991138313	0.32837982276626	-0.723315283756126	0.801764404653631	-0.0784491208975057
ZBTB17	0.162045758619437	-0.0623551213710147	-0.0996906372484236	0.453726515301518	-0.362073580417984	-0.091652934883534	-0.478296911012269	0.539860350379856	-0.061563439367589	0.0202311791197616	-0.336009697913464	0.315778518793702
YWHAZ	0.324098645023966	-0.19698863232027	-0.127110012703692	0.637307473929358	-0.120220342909946	-0.517087131019412	0.0347533781832787	0.516385441038096	-0.551138819221375	0.344294656682134	-0.0884750299405681	-0.255819626741566
YWHAQ	0.169334319262635	-0.196221579252551	0.0268872599899161	-0.794785599083113	0.514871773405659	0.279913825677458	-0.322684429812078	0.140116211245221	0.182568218566853	-0.368096166789631	0.554338616763339	-0.186242449973705
YWHAH	-0.263168558826246	0.24355266783401	0.0196158909922346	0.57820278135905	-0.110321978373513	-0.46788080298554	0.510589536218038	-0.574218140119159	0.0636286039011207	0.510217948406851	-0.0707347083885992	-0.439483240018248
YWHAE	-3.74221516573096	1.13104927437802	2.61116589135293	0.655488493761226	1.25895359201007	-1.91444208577129	-1.27468747388487	0.272424719855273	1.00226275402959	-0.850149606419109	0.808337935273869	0.0418116711452328
YBX1	0.708994089417359	-2.07441483013861	1.36542074072128	1.88938796824294	-1.99496857240804	0.105580604165112	-0.369570044317385	-0.412833698273928	0.782403742591299	2.05216482528246	1.38899081082707	-3.4411556361095
YARS	-0.427323011267465	0.426188115874883	0.00113489539258183	-0.0256112845673435	-0.194258193441719	0.219869478009063	-0.335297619903221	0.570450246570784	-0.235152626667565	-0.184410494039982	-0.117695996942619	0.302106490982601
YAF2	-0.0341828424373478	0.249942836613776	-0.215759994176429	-0.345564053089639	0.246430337796983	0.0991337152926572	-0.0622909708621719	-0.00920330009987236	0.0714942709620452	-0.131854697261799	0.0208457037129186	0.111008993548882
XYLT1	0.966769317482522	-0.070888235334853	-0.895881082147668	-0.611946933529825	0.379829903983143	0.232117029546683	0.705161142178957	-0.315884896862553	-0.389276245316404	-0.243549326810326	0.0114208776782432	0.232128449132083
XPO1	-0.542937125986144	0.542079148657837	0.000857977328301729	-0.557687856456063	0.681551931573569	-0.123864075117503	-0.0233894570726054	-0.08207434946757	0.105463806540175	-0.603913194380151	0.233145381814436	0.370767812565715
XPNPEP2	-0.109533571210941	0.219067142421881	-0.109533571210941	0	0	0	-0.13003053705689	0.0575390971834078	0.0724914398734826	0	0	0
XPA	2.34415385498821	-0.873527397770667	-1.47062645721755	0.748425789233378	-0.496320345672599	-0.252105443560779	-0.975941259932004	0.601922973660962	0.374018286271042	0.91099651293592	-1.71878932052436	0.807792807588445
WWP1	0.237364643430766	-0.151822887473136	-0.085541755957629	-0.168716908239285	0.0463461871238708	0.122370721115415	0.115533692695381	-0.203575855197783	0.0880421625024015	-0.161517222797949	0.0618192761532743	0.0996979466446746
WTIP	0.750919414518776	-0.389800732621302	-0.361118681897475	-1.07141011619898	0.4665958850898	0.604814231109176	0.124045947186134	0.127985263121403	-0.252031210307537	-0.607868329398949	-0.439649967809705	1.04751829720865
WSB1	1.62157352238442	-0.482198246486508	-1.13937527589791	0.0887214833273582	-0.975445493168074	0.886724009840716	0.0439130367921123	0.519459334308927	-0.563372371101043	-0.565116480715915	-0.139673503370098	0.704789984086016
WRNIP1	-0.636857051060406	0.421440328493437	0.215416722566969	-0.596214414581679	0.0836882041696523	0.512526210412025	-0.137179961650892	0.313040797009004	-0.175860835358113	0.102524722078119	-0.336022809453608	0.233498087375487
WRB	0.449795620693771	0.00183877820056111	-0.451634398894333	0.105582907448212	0.0941150085753257	-0.199697916023538	0.255694499668429	-0.0606976004365651	-0.194996899231863	0.066738865017725	-0.0684609410911836	0.00172207607345953
WNT9B	4.2120253694733	-2.56626478373831	-1.64576058573499	0.213321969862185	-0.732499087619571	0.519177117757386	0.0126161521772179	0.228552787169379	-0.241168939346595	0.0142204557296406	-1.35311689349333	1.33889643776369
WNT9A	1.04440076872053	-0.321621099493707	-0.722779669226823	-0.367866917728513	-0.0720805465362808	0.439947464264795	-0.241542386115335	0.480763967853617	-0.239221581738281	-0.000370932721713402	0.291220295267678	-0.290849362545964
WNT8A	0	0	0	0.193403451143695	-0.366443537773812	0.173040086630117	-0.16751568040957	-0.112682587238921	0.280198267648491	0	0	0
WNT7B	1.66464944626056	-1.1111656589475	-0.553483787313064	-0.260390746822472	-0.246207683658971	0.506598430481442	-0.149617884295303	0.569643362114667	-0.420025477819365	0.421798580328798	-0.378727473727061	-0.0430711066017384
WNT7A	0.490979571102443	0.217938550954541	-0.708918122056984	-0.187308999286475	0.395956780880963	-0.208647781594488	0.303869886180675	-0.0107772831434136	-0.293092603037261	-0.306366128997162	0.0405963362828019	0.26576979271436
WNT5B	-0.537496481652849	0.10423271870371	0.43326376294914	-0.922160838045087	0.322020646027589	0.600140192017498	1.84530863525729	-1.53091037259627	-0.314398262661022	0.224294298827747	-0.190687853820051	-0.0336064450076963
WNT5A	-3.10627103817718	1.30915972333871	1.79711131483847	-1.99457532744625	1.89524985387894	0.0993254735673119	-1.52480448745343	2.24833995006812	-0.723535462614697	-0.346567282908438	0.707478714584692	-0.360911431676252
WNT4	1.1891296969922	-0.499086266935431	-0.690043430056771	-0.113885342238792	0.193957758092477	-0.0800724158536852	-0.52097036001279	0.176565261372007	0.344405098640784	0.307167859124214	-0.248226298343896	-0.0589415607803199
WNT3	2.19057663354174	-0.43045656866162	-1.76012006488012	0.72547820791491	-0.714015927559301	-0.0114622803556093	-0.458092493584362	0.616989671995314	-0.158897178410951	-0.0773703748569057	-0.656060683258127	0.733431058115031
WNT2B	2.20088610643294	-1.099880124652	-1.10100598178093	0.0352241147752337	-0.143487502375183	0.108263387599949	0.86373568609678	-0.995459878887771	0.131724192790991	-0.0277778606234351	-0.0447498443465477	0.072527704969982
WNT2	1.8092626339467	-1.56047462387375	-0.248788010072956	-1.21666032321887	1.12574526186874	0.0909150613501373	1.1246311366839	-0.577339316284881	-0.547291820399014	-0.29981534599324	-0.226120138230444	0.525935484223685
WNT16	0.22335366540548	0.370797708416997	-0.594151373822478	-0.32920492383046	-0.000671534080410208	0.32987645791087	-0.0126369748702384	-0.0667542180229646	0.0793911928932034	0.13918918954113	-0.32550211897828	0.186312929437151
WNT11	-0.311081084448443	0.895376117606777	-0.584295033158335	-2.71844281322418	1.40277066353542	1.31567214968876	0.959986435242794	-2.13000569213333	1.17001925689054	-0.206627960193503	2.01662970095845	-1.81000174076494
WLS	0.711807517451444	-0.64609411503702	-0.0657134024144206	-1.21783278574161	-0.0993620080464268	1.31719479378804	0.242174008297951	0.348210864334174	-0.590384872632125	-0.959188427179839	-0.419436972339927	1.37862539951977
WISP1	-0.00670313331055583	-0.63597558857599	0.642678721886546	-1.24889930278639	0.834591061697656	0.414308241088734	1.39846213640325	-0.289487638343837	-1.10897449805941	-0.687274974987819	0.591593571484139	0.0956814035036793
WIF1	3.00643144403426	-0.251957772548469	-2.75447367148578	2.11699163458994	-3.07466205660445	0.957670422014505	2.2431926055218	-0.646792192983581	-1.59640041253822	4.24454757968135	-2.75004655189117	-1.49450102779018
WHRN	-0.202070609542489	0.377883926548352	-0.175813317005862	0.161877051690533	-0.00238891687437714	-0.159488134816155	0.0388953540364287	0.338712691211825	-0.377608045248254	-0.598868075288425	-0.106820121985645	0.705688197274069
WFIKKN2	0.129875157812448	0.0988721758817381	-0.228747333694187	0.0628939135291799	-0.155643216762072	0.0927493032328923	0.0980864967067978	-0.261332235151168	0.163245738444371	0.175672909859186	-0.0994147885679626	-0.0762581212912236
WDR48	0.328660981548674	0.0124731548910537	-0.341134136439727	-0.309951495537303	0.230280575768895	0.0796709197684082	0.203207128249846	-0.101479140171557	-0.101727988078289	-0.371041470761813	0.0581231265157527	0.312918344246059
WDR43	-0.701899224889976	0.778995584795616	-0.0770963599056422	-0.0930838431324901	0.363613995053068	-0.270530151920577	-0.181758341255968	0.400652784659417	-0.218894443403451	-0.36525989727803	0.235733095975705	0.129526801302324
WDR4	-1.45589616271114	0.512706842969195	0.943189319741943	0.347935287932644	-0.0543288328874976	-0.293606455045149	0.152744842315366	0.124747061791597	-0.277491904106963	-0.705652301087653	0.119799183987993	0.58585311709966
WDR35	0.222640997492046	-0.0282092285242515	-0.194431768967794	-0.576067754950862	0.21057223226833	0.365495522682531	-0.271615496547557	0.140228728758594	0.131386767788963	-0.585882430903913	-0.0270007143229236	0.612883145226837
