eFCor1	eFCor2	eFCor3	eFCor4	eFCor5	eHCor1	eHCor2	eHCor3	eHCor4	eHCor5	lFCor1	lFCor2	lFCor3	lFCor4	lFCor5	lHCor1	lHCor2	lHCor3	lHCor4	lHCor5
ZPLD1	-0.0742223512197597	-0.11710791627954	0.117794904968638	0.334888276586447	-0.261352914055786	-0.015538830082129	-0.162352934434153	-0.00347174467673561	0.127341851451071	0.0540216577419464	0.299660394579745	-0.390939314886124	-0.168934910275466	0.230641893292923	0.0295719372889219	0.201357957530993	-0.0857653163766409	0.0335571849883717	-0.129429497893891	-0.0197203282488333
ZNF521	-0.974198720957014	-0.904631942099724	-0.593652341078092	0.855359667681427	1.61712333645341	-1.76502353994648	-0.941593739828209	-1.54318006421204	-0.638248319934563	4.88804566392129	-0.901205798452271	-0.678509954194835	-1.93907188345285	1.5310952252566	1.98769241084335	-0.532975443943453	-1.22397589122005	-0.026576327633693	0.631676370125215	1.15185129267198
ZNF507	-0.21421420933955	-0.123373921601163	0.0412995699245822	0.00330001193930896	0.292988549076822	-0.141258778402359	0.0665360010455127	-0.428322597068158	-0.256431444866406	0.759476819291409	0.353220067552431	0.0761472727184955	-0.283795192085718	0.111263044624258	-0.256835192809467	0.191430151809857	-0.502438922669025	0.053345368779067	0.0147708607586461	0.242892541321456
ZNF423	0.0921454226752783	-0.629842297656687	-0.23398372322346	0.568154143564589	0.203526454640283	-0.686865205429042	-0.527595965832198	-0.591263784179374	0.448451353242136	1.35727360219848	0.252016615238647	-0.55952483710252	-0.0159404413510007	0.283528746580894	0.0399199166339841	0.526135186065414	-0.445157253602438	-0.523231345303224	-0.63167219461582	1.07392560745607
ZMYND11	-0.250528595298106	-0.145929444067717	-0.00759543834832677	0.123556058705809	0.28049741900834	-0.479611507225634	0.329489844023668	-0.528261003363925	-0.365769535715899	1.04415220228179	0.353485544007752	-0.410547350026336	-0.38778839897474	0.556761452259334	-0.111911247266013	0.236454758548382	-0.725892501122631	-0.350913416036775	0.108818442650696	0.731532715960332
ZMYM3	-0.1514302606864	0.146815445661612	-0.0906749717141873	0.206603280299045	-0.111313493560068	-0.198296063415996	-0.167825251138349	0.238879175292198	0.237185269620033	-0.109943130357887	-0.39863617155813	-0.624183151012248	0.413581232447383	0.473632586558717	0.135605503564277	0.676533182749305	-0.2503853483789	0.052227336003603	-0.57373843292765	0.0953632625536409
ZMIZ1	-0.742513737436745	-0.422172561585967	0.00364589627200473	0.559680724681622	0.601359678069088	-0.856543110538436	-0.229153610870014	-0.723772471587186	-0.37481593036421	2.18428512335984	-0.0220942150796102	-0.546565252448559	-0.651085541935574	0.941389059045161	0.278355950418581	0.128536513215161	-0.785581152283211	-0.319497540396036	-0.577282258375813	1.55382443783989
ZIC2	3.38558337884507	-0.477379287972422	-1.31495064457123	-2.83685541600625	1.24360196970483	4.46620694584227	-0.775770258892985	-0.586467543429226	-1.11302653098507	-1.99094261253499	-0.314132319909005	-1.36032928549425	0.601663553175908	-0.350712959224681	1.42351101145203	1.02084225441116	-0.401981105952595	-0.217166968378876	-0.706663396926548	0.304969216846856
ZHX3	-0.374183131610069	-0.0278014699112741	0.0469397244003917	-0.0214395092533666	0.376484386374318	-0.187635691399386	-0.0314208350735568	-0.280592560804687	0.173311411711802	0.326337675565829	-0.104371267345982	-0.19847490663446	-0.00364755163678865	0.329886479806498	-0.0233927541892665	-0.0216789861403335	-0.234619359743283	-0.368195492316325	-0.0194345020946933	0.643928340294636
ZFP64	0.159705435515591	0.0726266407981866	-0.114143264859999	-0.120459892797769	0.00227108134398968	0.0109389355411222	0.385860701670835	-0.350140007197089	-0.283554766122965	0.236895136108095	-0.160388673705171	-0.0320223963848987	-0.0287586654737479	0.188127684038072	0.0330420515257437	0.160084015075632	-0.349550494140989	0.000668900575149678	-0.136750792226218	0.325548370716426
ZFHX4	0.804444741665061	0.0852312838845988	-0.336121653427678	-0.517234907740891	-0.0363194643810933	0.396875563961448	0.320600968752554	-0.533945551745878	-1.52278601675327	1.33925503578515	0.248191282399397	-0.12990951279896	-0.297953066896115	0.603445592163579	-0.423774294867903	0.315732440079461	-0.598193209926748	-0.514132553812572	-0.631067143162618	1.42766046682247
ZFHX3	-0.761174842391047	0.223814435798311	0.252333463101533	0.587344668872189	-0.302317725380984	-0.589950222420768	0.0211733036414472	0.557782033096839	0.2319668428594	-0.220971957176919	-0.846956997057445	-1.14586326675539	0.47906340648214	1.11490061172275	0.398856245607943	-0.0026918919182557	0.0847615602676535	-0.100207949862177	-0.00108355735926802	0.0192218388720473
ZFAND5	-0.482502475227879	-0.0894078051617679	0.454040372249198	-0.317922207588307	0.435792115728757	0.0417701999449189	0.783200802718046	-0.840538718208871	-1.49489102286831	1.51045873841421	0.562945684335034	0.323183826335377	-0.950405927718414	-0.120496630745624	0.184773047793623	0.12734879344192	-0.196530848644299	-0.056627633906901	-0.073652253586177	0.199461942695455
ZEB2	-1.61985051075436	0.0774395652685063	0.727833630765277	0.787225042770922	0.0273522719496562	-2.16206067858326	0.0697864469701814	0.863286407841656	0.824686044950589	0.40430177882083	-0.389140418199156	-0.0227872277865213	0.214555354958097	0.86653738401604	-0.669165092988458	-0.140723736885654	-0.622692341394304	0.332808638350484	0.741080349324244	-0.310472909394768
ZEB1	-0.393484696762189	-0.374604810856848	0.234743134165592	0.283639773465118	0.249706599988327	-0.581060865279644	0.211380844263202	-0.22653834892403	-0.268012745879692	0.864231115820166	0.645765092068516	0.337670588651049	-0.503627055648445	-0.141320923655848	-0.338487701415271	0.265943427191214	-0.97703296182933	-0.9949918723938	-0.304271132407219	2.01035253943914
ZDHHC8	-0.862259712350451	0.0819160832620405	0.235778865258031	0.255833692088131	0.288731071742247	-0.144534781401429	0.338779765911842	-0.116024188445611	-0.266813357447865	0.188592561383062	0.246697952345018	-0.475056211703721	-0.0448306293069329	0.140578131690978	0.132610756974659	0.262463775512598	-0.328632127416577	-0.165419091137075	-0.49301322495687	0.724600667997921
ZDHHC13	-0.292345434734793	-0.107698290536618	0.207158928180519	0.135675157612532	0.0572096394783594	-0.430270465722502	0.343456447063653	-0.0530788487088074	-0.287260119449871	0.427152986817528	0.459980684747801	0.0962046377067969	-0.488236292616347	-0.0937797219732719	0.0258306921350204	0.0233628400145838	-0.455955385510033	0.335517313685608	0.11774257492022	-0.0206673431103788
ZC3H7A	-0.452489836498343	-0.156608779340934	0.367770622414236	-0.024062656994114	0.265390650419154	-0.424895904754021	0.562520808965173	-0.399823701074832	-0.614399599378784	0.876598396242465	0.507641970592985	0.447613740802087	-0.398940221889881	0.18307242416468	-0.739387913669874	-0.152552291795892	-0.164557449094132	0.245643057064182	0.0809423836406804	-0.0094756998148382
ZC3H18	-0.245904924165224	0.0330053742044658	-0.225359240882318	0.263887396205122	0.174371394637951	-0.20386503956972	0.036794704941606	0.0914932350598061	0.120740149275006	-0.0451630497067015	-0.0465689922659491	-1.14095984527544	0.508074496549415	0.361382245934951	0.318072095057023	0.430068853193115	-0.0584110671339797	-0.148720719039376	-0.6623580122051	0.439420945185341
ZBTB34	-0.423093265118742	-0.012682064181174	0.0962237337734022	0.140852845919687	0.198698749606825	-0.278767942536192	0.190049382453267	-0.155729133626203	-0.275071659164503	0.519519352873631	0.224367039181544	-0.340889940972056	-0.197510039848813	0.405196689515337	-0.0911637478760143	0.37316971644373	-0.612892731285083	-0.342156124107831	-0.0405411170456151	0.6224202559948
ZBTB20	-0.150970612931187	0.069600056902702	0.180915187567132	0.0662951465521417	-0.165839778090788	0.14722781858879	-0.0916206527394781	-0.0602856736711319	-0.156747022512542	0.161425530334362	0.233387319361206	-0.100805268369564	-0.0134506143845698	-0.00444266403230814	-0.114688772574764	-0.127677598229092	-0.127677598229092	0.136293528979927	0.24673926570735	-0.127677598229092
ZBTB17	-0.0799506709416624	0.524617036677268	-0.0971132881550956	-0.0680257291221373	-0.279527348458374	0.00850969669925306	-0.291358487858495	0.618687288877882	0.430140543388773	-0.765979041107415	-0.254646869340076	-0.339145843458683	0.300279028042836	0.0664738438148005	0.227039840941122	0.333779687369189	0.199639892710512	-0.0214823900680932	-0.335676040811673	-0.176261149199934
YWHAZ	-0.227865784224676	-0.550485869364067	0.183520726999838	1.05017397974703	-0.455343053158135	-0.391133225116342	0.920847581109907	-0.410546021190754	-0.277337456925974	0.158169122123155	0.427253379375685	0.724251163714602	-0.47318190811578	0.122887064620965	-0.801209699595475	-0.0818007746026197	0.285206603573283	-0.131128737476558	0.411099583336487	-0.483376674830591
YWHAQ	0.087367561885646	-0.604731927906986	0.00777959920293014	0.16515315830371	0.344431608514693	-1.31263145996327	1.51980879992944	-1.68870651898521	-1.99602700662092	3.47755618563996	1.55942754084941	1.84514381868062	-2.5968123454837	-0.339673055690454	-0.468085958355879	0.934867414711192	0.279804245046094	0.322834656668938	0.917321853682665	-2.4548281701089
YWHAH	0.370234396488705	-0.283958038837298	0.0387059265622085	-0.168825254638605	0.0438429704249934	0.438127625735275	0.111957990196816	-0.533127192646681	-0.877439712781786	0.860481289496375	0.437202263328606	0.329801533988768	-0.160683413865851	-0.51135996463772	-0.0949604188138	0.031160436621148	-0.157762392436318	-0.295618258616066	0.243895435155224	0.178324779276016
YWHAE	-0.679652893690569	-0.592601825123648	-0.223524360425014	0.927341404179	0.568437675060231	-0.78348996544581	1.63379224785955	-1.19530418930075	-1.71429685465247	2.05929876153949	0.905106972006202	2.02854257023149	-1.01812067678552	-0.85147774806412	-1.06405111738805	-0.486849330095062	0.858016611328338	0.311584539119707	1.41520440746717	-2.09795622782013
YBX1	1.36564862278446	-1.16288614235103	-0.591027381476167	0.00669948310894597	0.381565417933814	3.95072171398671	-3.57471379338523	3.92290964327205	4.09781690456076	-8.39673446843429	-4.8955237933187	-3.48971525335786	5.71564616811071	1.71540701121229	0.954185867353544	1.33624920415194	-1.74097987453528	-0.41001978394543	-2.80837153710564	3.62312199143439
