Tau	D1	D3	D4	Tau_info	gene	names
AADAT	0.597607703909958	39.5589372218332	16.8587765643214	14.9776465948292	MAX_ D1	AADAT	lChiF
ABCC4	0.559267189697172	1.30821013750093	3.6978240248961	5.67921657450166	MAX_ D4	ABCC4	lChiF
ABCC6	0.663651972426133	8.69903166425959	2.94030433030373	2.91149995384892	MAX_ D1	ABCC6	lChiF
ABCG5	0.561807335452957	6.1090017052235	2.42619450324757	2.92764496662106	MAX_ D1	ABCG5	lChiF
ABHD8	0.720140219747011	8.4139396549129	2.27548579099078	2.43396081478089	MAX_ D1	ABHD8	lChiF
ACAN	0.969140007512184	94.682996226862	3.23227215979501	2.6115609447747	MAX_ D1	ACAN	lChiF
ACAP1	0.642888681848559	10.8607630317772	3.47262665004122	4.28437615477557	MAX_ D1	ACAP1	lChiF
ACHE	0.566615686614265	80.9797616809909	40.2824584903455	29.9082583381679	MAX_ D1	ACHE	lChiF
ACOT8	0.509442954473873	48.0766192674977	22.872688477192	24.2959601363043	MAX_ D1	ACOT8	lChiF
ACP3	0.946873256170522	0.333677520003189	0.143729496752412	4.49309502468236	MAX_ D4	ACP3	lChiF
ACSS3	0.660760467548039	15.5053765611892	6.41117193758708	4.10890145263177	MAX_ D1	ACSS3	lChiF
ACTA1	0.622960255898835	25.7468217976111	113.865219596176	60.1166047195191	MAX_ D3	ACTA1	lChiF
ACTA2	0.532883720133808	4.63715841470287	32.5841196863191	25.8039871264734	MAX_ D3	ACTA2	lChiF
ACTC1	0.549705191010754	137.228936441046	521.27732442774	332.228010026183	MAX_ D3	ACTC1	lChiF
ACTL6B	0.555172373100727	5.10911026374437	1.79444983389658	2.75089695447967	MAX_ D1	ACTL6B	lChiF
ACTN2	0.627450068023611	14.9715093272303	88.9888721077746	51.3340871735838	MAX_ D3	ACTN2	lChiF
ADA	0.534955802191181	10.6696237620316	14.0513966177178	26.5792160145521	MAX_ D4	ADA	lChiF
ADAM11	0.818688562230504	26.1880423942205	4.17895876290031	5.31742447482897	MAX_ D1	ADAM11	lChiF
ADAM22	0.510321612981862	10.1089271845165	10.1180590486602	20.6533377512815	MAX_ D4	ADAM22	lChiF
