Tau	D1	D2	D3	D4	Tau_info	gene	names
A6R68_19796	0.82042961660007	1.1172464286791	1.10706617408464	5.42569448578927	0.698569514308454	MAX_ D3	A6R68_19796	eAxmF
AAES_15983	0.585813243975487	2.48000066196481	3.68093383150386	1.68093853847007	0.412842927999515	MAX_ D2	AAES_15983	eAxmF
AB205_0023860	0.542441424947435	2.11057387021981	2.1859117785577	5.48213983640985	7.12376951523928	MAX_ D4	AB205_0023860	eAxmF
AB205_0030250	0.501318787610889	0.698253937749817	1.70597936485201	2.33231688854222	3.16605082463531	MAX_ D4	AB205_0030250	eAxmF
AB205_0031500	0.504929180000573	1.57756401611087	1.64149968354114	6.38395996835098	6.46575754421971	MAX_ D4	AB205_0031500	eAxmF
AB205_0079540	0.606712210417418	4.0394286132824	2.47210518738241	1.64552048282152	0.648348181279483	MAX_ D1	AB205_0079540	eAxmF
AB205_0102320	0.588219254375002	25.3840951338046	35.3016338044945	18.8666178326677	64.3970103153017	MAX_ D4	AB205_0102320	eAxmF
AB205_0126920	0.961864171590862	19.0610096030911	452.020470701253	13.6982932687315	18.95522245242	MAX_ D2	AB205_0126920	eAxmF
AB205_0136590	0.930077100167848	0	7.58582065456682	0.51068743118937	1.08058030213247	MAX_ D2	AB205_0136590	eAxmF
AB205_0160020	0.830629135002319	0	4.97137506514205	2.52601828503303	0	MAX_ D2	AB205_0160020	eAxmF
AB205_0172200	0.798063266296732	0.488396295965436	0.867141355054918	1.12917270012438	4.10146667486436	MAX_ D4	AB205_0172200	eAxmF
AB205_0185540	0.62213904662719	2.75707586432101	2.74539291376685	1.45743325761288	6.13973824107892	MAX_ D4	AB205_0185540	eAxmF
ABTB2	0.693526491108196	2.52394534290101	2.62907546960518	10.673579863984	4.66048760755004	MAX_ D3	ABTB2	eAxmF
ACAN	0.554551297297144	9.8296116309919	9.78237811093502	24.6524583157842	13.33222698368	MAX_ D3	ACAN	eAxmF
ACTB	0.6500398537577	3.94619549142861	5.03628828038143	9.12885267290191	0.60172007748945	MAX_ D3	ACTB	eAxmF
ADAMTS19	0.745292426010813	1.07931799507988	1.10206327552191	3.44548241036569	0.451390127298191	MAX_ D3	ADAMTS19	eAxmF
ADAMTS3	0.522375796089751	3.87400611272898	5.11678979435516	9.3278664938265	4.37484851780077	MAX_ D3	ADAMTS3	eAxmF
ALDH1A2	0.53826460327602	21.942869860473	19.7698664342374	40.2294658198206	14.0133687862156	MAX_ D3	ALDH1A2	eAxmF
ALDH1A3	0.645617900787116	14.083658078576	18.2973681586443	36.369819182038	6.28541237195065	MAX_ D3	ALDH1A3	eAxmF
ALKAL2	0.746836000756639	0.579415199790919	0.441459598166967	1.70067827861017	3.58338611164047	MAX_ D4	ALKAL2	eAxmF
AMEX60DD000192	0.501045635377025	5.11405658267258	8.03879044412146	11.884621659936	4.63680452055941	MAX_ D3	AMEX60DD000192	eAxmF
AMEX60DD000399	0.585294281089274	1.75491634686834	1.64468842953981	3.15073510319671	5.26505067803269	MAX_ D4	AMEX60DD000399	eAxmF
AMEX60DD000508	0.576154414423523	2.51246132033538	1.70527119905102	6.28335577252186	3.77178530098319	MAX_ D3	AMEX60DD000508	eAxmF
AMEX60DD000546	0.527946157150248	3.78577651242774	4.27128852845882	9.57914507119185	5.50855168532757	MAX_ D3	AMEX60DD000546	eAxmF
AMEX60DD000557	0.623845573575097	0.954964824513422	0.477786582883073	2.6515708241392	3.61936653726188	MAX_ D4	AMEX60DD000557	eAxmF
AMEX60DD000746	1	0	0	0	3.75021528734012	MAX_ D4	AMEX60DD000746	eAxmF
AMEX60DD000883	0.709036861937598	134.3031026645	468.657724462569	147.859671893694	126.923592002247	MAX_ D2	AMEX60DD000883	eAxmF
AMEX60DD001071	0.653983515852966	1.08393071942484	1.01555111865455	3.52463022992035	1.55925864214678	MAX_ D3	AMEX60DD001071	eAxmF
AMEX60DD001109	0.630313933212832	3.84493784805306	0.355096697347903	1.82356734290241	2.08559581001325	MAX_ D1	AMEX60DD001109	eAxmF
AMEX60DD001125	0.532473424034496	9.91630400526288	4.64494939887749	6.9964403799909	15.3700309189995	MAX_ D4	AMEX60DD001125	eAxmF
AMEX60DD001290	0.508275469200675	2.16348291957619	2.6241541309055	5.06721194719991	2.68738020111114	MAX_ D3	AMEX60DD001290	eAxmF
AMEX60DD001370	0.797667190594435	9.29341170462864	0.223564795828873	4.28756218158417	1.12995932006719	MAX_ D1	AMEX60DD001370	eAxmF
AMEX60DD001518	1	0	0	0	3.28869949888682	MAX_ D4	AMEX60DD001518	eAxmF
AMEX60DD001610	0.53023041156361	3.58774860192812	2.91144845399387	7.35232556154294	3.86249980336713	MAX_ D3	AMEX60DD001610	eAxmF
AMEX60DD001637	0.520668983232254	3.64540737656221	1.53679845661374	2.91748228455773	5.63263370155068	MAX_ D4	AMEX60DD001637	eAxmF
AMEX60DD002100	0.656551826297887	1.92088723022548	2.12955979610412	1.25164996607391	5.14594573348179	MAX_ D4	AMEX60DD002100	eAxmF
AMEX60DD002165	0.508576674731566	3.73926873213911	1.90819307574519	1.97854474328005	1.62595380423501	MAX_ D1	AMEX60DD002165	eAxmF
AMEX60DD002258	0.73272346579663	1.48247541489766	1.17010222742623	0.683510357155627	4.16059470568299	MAX_ D4	AMEX60DD002258	eAxmF
AMEX60DD002286	0.614834460041678	1.53652767270025	3.27843592769609	0.330235341097663	1.92145861913157	MAX_ D2	AMEX60DD002286	eAxmF
AMEX60DD002289	0.580583801689271	0	2.94088727248916	5.00884901159069	6.31809669098681	MAX_ D4	AMEX60DD002289	eAxmF
AMEX60DD002304	0.669991653439692	9.09947756760071	2.42476870465165	3.44964147390751	3.1343004613804	MAX_ D1	AMEX60DD002304	eAxmF
AMEX60DD003031	0.93058013535328	0	0.309436628409149	0.542268364533062	4.08963148745473	MAX_ D4	AMEX60DD003031	eAxmF
AMEX60DD003204	0.854599033655732	0.688721887072857	0.329019888200983	2.98272033995119	9.17110391539188	MAX_ D4	AMEX60DD003204	eAxmF
AMEX60DD003265	0.878559392800949	0.766183207218742	0.403160222590767	0	3.20964422247127	MAX_ D4	AMEX60DD003265	eAxmF
AMEX60DD003565	0.570452128257618	1.7492135299857	2.44260479721721	1.80465066922085	4.65331836169985	MAX_ D4	AMEX60DD003565	eAxmF
AMEX60DD003808	0.606577295953451	1.76582944156785	2.10909092753096	4.81906716102189	1.81287093131466	MAX_ D3	AMEX60DD003808	eAxmF
AMEX60DD004172	0.567549976118253	7.04636893548962	7.51674992393281	22.6833816425134	14.8651679396487	MAX_ D3	AMEX60DD004172	eAxmF
AMEX60DD004206	0.644756408420533	2.08446936458075	1.53675260813191	4.96555143955253	1.67071900996504	MAX_ D3	AMEX60DD004206	eAxmF
AMEX60DD004249	0.502192832804078	2.03609783554324	1.50098769937733	3.01435451142414	0.964616305848322	MAX_ D3	AMEX60DD004249	eAxmF
AMEX60DD004363	0.581521402931842	1.49450318673239	4.00603665896631	2.60313968383181	0.931678931979294	MAX_ D2	AMEX60DD004363	eAxmF
AMEX60DD004646	0.560422572449047	10.8748917643262	7.32218864394509	5.09075278715486	17.6592576838861	MAX_ D4	AMEX60DD004646	eAxmF
AMEX60DD004833	0.675758366129674	3.68561407556841	2.79919788543631	0	0.785890703597011	MAX_ D1	AMEX60DD004833	eAxmF
AMEX60DD004893	0.796382108156709	0.938365939458525	0	9.48934190311331	4.85823344041789	MAX_ D3	AMEX60DD004893	eAxmF
AMEX60DD005049	0.634412642301885	4.40185502801466	2.9364394278479	0	1.89134821813822	MAX_ D1	AMEX60DD005049	eAxmF
AMEX60DD005437	0.873079287286507	0	0	2.10953599450811	5.54029874086328	MAX_ D4	AMEX60DD005437	eAxmF
AMEX60DD005585	0.54109957342464	6.97203532330922	10.0461654797749	4.19555493832848	2.66297861070836	MAX_ D2	AMEX60DD005585	eAxmF
AMEX60DD005645	0.696808886271044	3.81502679390547	2.67119560256352	16.8756354111143	25.6844135043572	MAX_ D4	AMEX60DD005645	eAxmF
AMEX60DD005649	0.860180170586753	5.15183562583486	2.16098633510795	0	0	MAX_ D1	AMEX60DD005649	eAxmF
AMEX60DD005700	0.542416881436678	11.3909265547964	8.60119170278298	6.69460690585289	19.4403479796347	MAX_ D4	AMEX60DD005700	eAxmF
AMEX60DD005748	0.691208405595041	1.30094781307346	1.04042825702457	1.79944563414441	4.46992057563591	MAX_ D4	AMEX60DD005748	eAxmF
AMEX60DD005786	0.506663063638271	5.04219910817416	2.90224040607722	3.53256554779952	1.02770322778071	MAX_ D1	AMEX60DD005786	eAxmF
AMEX60DD005791	0.607278466428771	3.46519611433539	1.26587189728137	12.1296905836824	9.55970405168797	MAX_ D3	AMEX60DD005791	eAxmF
AMEX60DD005817	0.619686259517543	4.685575591316	1.70571461804371	2.09935323983514	7.44178866499697	MAX_ D4	AMEX60DD005817	eAxmF
AMEX60DD005858	0.824052845946297	5.37080992990896	33.9485192693717	8.91233399862028	3.6362921208205	MAX_ D2	AMEX60DD005858	eAxmF
AMEX60DD005883	0.664486960146792	35.9090402614822	93.1209281511617	26.5997342601555	31.2210825122076	MAX_ D2	AMEX60DD005883	eAxmF
AMEX60DD005918	1	0	0	0	4.70422151722333	MAX_ D4	AMEX60DD005918	eAxmF
AMEX60DD005921	0.545392470190334	10.546953545324	10.8196778856965	27.5622184744606	16.2233447392261	MAX_ D3	AMEX60DD005921	eAxmF
AMEX60DD006033	0.589307510810473	3.10797642887096	1.55497815156491	4.62180158796777	1.0314630156719	MAX_ D3	AMEX60DD006033	eAxmF
AMEX60DD006061	0.754608793792997	4.57636371767195	2.36671449470868	1.00228374345577	0	MAX_ D1	AMEX60DD006061	eAxmF
AMEX60DD006062	0.659173837466516	3.63604031173142	1.26362710685885	8.57704805047837	3.87017970013927	MAX_ D3	AMEX60DD006062	eAxmF
AMEX60DD006105	0.544116546092599	5.89338303220353	4.95749633077901	7.05255508074137	13.0906516349538	MAX_ D4	AMEX60DD006105	eAxmF
AMEX60DD006417	0.522698912075076	2.42659774989718	1.5867971586468	3.80623463456805	1.43676488738659	MAX_ D3	AMEX60DD006417	eAxmF
AMEX60DD006683	0.7292830961463	3.00786845286777	1.18783053244542	1.25501197183332	0	MAX_ D1	AMEX60DD006683	eAxmF
AMEX60DD006736	1	4.2843028186457	0	0	0	MAX_ D1	AMEX60DD006736	eAxmF
AMEX60DD006740	0.743741709444239	0.613353172168175	0.576333255903779	1.80706688841828	3.89808957984151	MAX_ D4	AMEX60DD006740	eAxmF
AMEX60DD006843	0.829778873011909	0	0.199186048215866	3.43414202268879	1.55450452780188	MAX_ D3	AMEX60DD006843	eAxmF
AMEX60DD007189	1	0	0	3.2092305130135	0	MAX_ D3	AMEX60DD007189	eAxmF
AMEX60DD007473	0.933306710804321	1.11851266981712	1.87869358304088	1.25066596532764	21.2308827940311	MAX_ D4	AMEX60DD007473	eAxmF
AMEX60DD007478	0.53284938509125	3.95765062075556	0.329019888200983	4.85634840225363	2.51926791801519	MAX_ D3	AMEX60DD007478	eAxmF
AMEX60DD007578	0.508238319304638	5.42369064624233	7.40213415105205	15.1739362650209	9.56005640405858	MAX_ D3	AMEX60DD007578	eAxmF
AMEX60DD007597	0.842465068635944	0	0	1.47923255930714	3.1299567372113	MAX_ D4	AMEX60DD007597	eAxmF
AMEX60DD007683	0.769318879110148	11.8537541786097	6.93410537551517	43.10227269014	11.0407821770598	MAX_ D3	AMEX60DD007683	eAxmF
AMEX60DD007717	0.858241795686574	0.864982464807142	3.6716284414038	0.696467899471374	0	MAX_ D2	AMEX60DD007717	eAxmF
AMEX60DD007833	0.823022747897345	1.50835785185378	0	3.95010207544262	0.588876780656713	MAX_ D3	AMEX60DD007833	eAxmF
AMEX60DD007969	0.755452843992081	7.82037266952422	3.9227268362799	0.908850513133624	0.905772336349097	MAX_ D1	AMEX60DD007969	eAxmF
AMEX60DD008125	0.672864097638343	1.62349444969075	1.83797886142699	1.36490458317455	4.91781128215088	MAX_ D4	AMEX60DD008125	eAxmF
AMEX60DD008347	0.814206919237586	5.52488426724439	43.4456697134741	9.51034445478253	9.18048574353108	MAX_ D2	AMEX60DD008347	eAxmF
AMEX60DD008416	0.78618219158084	3.3955590711499	0.811072282541958	1.36702071431125	0	MAX_ D1	AMEX60DD008416	eAxmF
AMEX60DD008479	0.740635527055931	0	1.7323172984839	3.39171970058685	0.906757479066267	MAX_ D3	AMEX60DD008479	eAxmF
AMEX60DD008487	0.957288416844193	0	0.78371332989607	0	6.11632155331395	MAX_ D4	AMEX60DD008487	eAxmF
AMEX60DD008497	0.505397251021846	43.5438112305744	75.7623377514493	40.5867106313813	28.286259700679	MAX_ D2	AMEX60DD008497	eAxmF
AMEX60DD008690	0.528831747836822	4.63762227711688	2.72863494463582	2.19162161231896	1.63504459055175	MAX_ D1	AMEX60DD008690	eAxmF
AMEX60DD008755	0.822855690328013	0.620786734946622	1.23877336436417	2.25886056143063	7.74965275179197	MAX_ D4	AMEX60DD008755	eAxmF
AMEX60DD008768	0.650733292502154	3.17410956650969	0.758176264115309	2.21042684641937	5.8624851679021	MAX_ D4	AMEX60DD008768	eAxmF
AMEX60DD008915	0.794168721586169	0.988328339752565	1.86453333606787	6.61007478618265	1.22881875513259	MAX_ D3	AMEX60DD008915	eAxmF
AMEX60DD008977	0.602497469300754	5.69879019623454	0.822549720502457	0.693182673530471	6.04987560504869	MAX_ D4	AMEX60DD008977	eAxmF
AMEX60DD009112	0.664786838212043	1.11970122744974	1.22767497012205	3.25711353443853	0.928105780972675	MAX_ D3	AMEX60DD009112	eAxmF
AMEX60DD009120	0.614959178133274	10.8699127446628	7.110028268601	3.8160566084863	1.62999553338639	MAX_ D1	AMEX60DD009120	eAxmF
AMEX60DD009122	0.565045203105185	3.0904929557021	2.34395331467604	0.675653916268781	1.01306697661197	MAX_ D1	AMEX60DD009122	eAxmF
AMEX60DD009177	0.637091834029071	6.35002201678552	1.5468595857073	1.34205229943799	4.02451264681467	MAX_ D1	AMEX60DD009177	eAxmF
AMEX60DD009243	0.553528441852475	1.99507476515888	0.824239049318489	3.68201407752568	2.11242987246467	MAX_ D3	AMEX60DD009243	eAxmF
AMEX60DD009415	0.567693417342773	5.9461259030486	1.05048518522001	3.17438108468701	3.48678183768265	MAX_ D1	AMEX60DD009415	eAxmF
AMEX60DD009490	0.763624627995594	0.875773992679016	0.663009860688409	3.09128335046047	0.653325902440938	MAX_ D3	AMEX60DD009490	eAxmF
AMEX60DD009528	0.680683997514693	1.259811123332	1.9887112956256	3.39112602528909	0	MAX_ D3	AMEX60DD009528	eAxmF
AMEX60DD009783	1	0	0	0	3.0001722298721	MAX_ D4	AMEX60DD009783	eAxmF
AMEX60DD009990	0.636080184439523	2.34225941251076	0.407431169968507	3.43352165393598	0.998889118590593	MAX_ D3	AMEX60DD009990	eAxmF
AMEX60DD009994	1	0	0	4.35171726322525	0	MAX_ D3	AMEX60DD009994	eAxmF
AMEX60DD010086	0.571960480396862	3.35429876705829	1.65894785759186	0.313336304453006	2.33503313652622	MAX_ D1	AMEX60DD010086	eAxmF
AMEX60DD010250	0.594816411374417	3.14473304892331	1.56898847914665	1.89983415447041	5.44078936741911	MAX_ D4	AMEX60DD010250	eAxmF
