Tau	D1	D2	D3	D4	D5	Tau_info	gene	names
0610040J01RIK	0.524389202513016	9.76295659803984	5.92293936622136	4.364210898931	5.1985373804108	3.08778264813502	MAX_ D1	0610040J01RIK	eMmF
ABCB1B	0.558340748222749	27.0388280143986	17.4454081251599	11.7405694777628	10.2800500948346	8.30176650133492	MAX_ D1	ABCB1B	eMmF
ADRA2A	0.609468091238034	1.00020360414593	2.77209826271966	2.84669016363142	5.77824050346672	2.40735714192123	MAX_ D4	ADRA2A	eMmF
ALB	0.552831101241983	0.828298158636139	0.659392537472157	1.17114384376603	3.02916755000962	2.75936353009096	MAX_ D4	ALB	eMmF
ALDH1A3	0.691702654869355	13.7529151043393	5.36900811793041	3.14271305684645	4.11062689153873	4.33760079158425	MAX_ D1	ALDH1A3	eMmF
ALX3	0.784477566469337	34.554892472171	12.0426515857333	7.09938307485641	6.59199469182027	4.0553887115608	MAX_ D1	ALX3	eMmF
ALX4	0.687283219911202	10.8935338652851	4.85320150911635	3.48793962862287	2.69961270389235	2.58560949492938	MAX_ D1	ALX4	eMmF
ANGPTL1	0.552232811072086	27.8491426052688	15.4631502269852	11.7642094008905	14.3326729928201	8.31969657295945	MAX_ D1	ANGPTL1	eMmF
ASB4	0.741911378984361	68.0903975742489	31.3683205706238	16.771757803881	11.3840675070858	10.7692813757874	MAX_ D1	ASB4	eMmF
ASPN	0.609034476772895	6.89990724704381	2.95681828981132	2.57976316797566	3.65957612925074	1.59434580119818	MAX_ D1	ASPN	eMmF
ATP6V1G3	0.944251643321223	5.39326836180078	0.216860387021897	0.0909690756104543	0.301660926449212	0.593173004110564	MAX_ D1	ATP6V1G3	eMmF
BMP5	0.68435471347887	26.4427444524051	10.202049808973	8.20670548308075	6.52234067286322	8.45501463142076	MAX_ D1	BMP5	eMmF
C1QA	0.639298515880779	19.8782882888488	8.94103595147553	6.70338366683388	8.34174954234076	4.69434318949976	MAX_ D1	C1QA	eMmF
C1QB	0.616094639900384	24.5175709113998	9.65912471267166	10.4768731690919	11.0478199031297	6.46588977314202	MAX_ D1	C1QB	eMmF
C1QC	0.652631913822823	24.0882342608666	8.69673235546399	8.67698394028606	10.4912836686181	5.60493537397082	MAX_ D1	C1QC	eMmF
C1QTNF3	0.692013516977983	3.14715036082387	0.633489271980011	0.833390372026137	1.06536967857379	1.34486976210652	MAX_ D1	C1QTNF3	eMmF
C3AR1	0.651575428352143	5.20914502858313	2.01325238315991	2.03331027473727	2.22588320537218	0.987530637673212	MAX_ D1	C3AR1	eMmF
CABP1	0.542814155353562	4.99299920568607	2.38122131910905	1.87845947143512	2.52898224050476	2.34225120563339	MAX_ D1	CABP1	eMmF
CACNA1E	0.801027440507342	3.60807559849655	0.718991343812536	0.542137781758446	0.558880472674197	1.05162254845827	MAX_ D1	CACNA1E	eMmF
