Tau	D1	D2	D3	D4	D5	Tau_info	gene	names
A6R68_19796	0.621958261948097	3.75782031842138	6.19502672954131	1.56496301740001	2.6241561847845	1.42097516784928	MAX_ D2	A6R68_19796	eAxmH
AB205_0023860	0.619008547377316	2.36071635867338	2.42259192235098	4.74135007413129	0.646254989293426	1.79609213822602	MAX_ D3	AB205_0023860	eAxmH
AB205_0033650	0.670460406765112	1.28733224139216	1.65956335572642	4.54871695392289	8.66329292523413	12.2586980502506	MAX_ D5	AB205_0033650	eAxmH
AB205_0043540	0.770568541411686	0.530588144851451	0.663172154055272	1.2185208227084	0.772052716216955	3.46980952113673	MAX_ D5	AB205_0043540	eAxmH
AB205_0056990	0.510443252120946	1.43278321970943	1.31915315860125	3.18665949223006	2.47085995559124	1.01740629655434	MAX_ D3	AB205_0056990	eAxmH
AB205_0063510	0.582099393290009	0.714785023925834	2.30302588214383	3.08379981647385	1.86357365467197	0.273502696364688	MAX_ D3	AB205_0063510	eAxmH
AB205_0114290	0.521314837496089	11.5988034649876	10.1639403203306	8.23387960151158	3.44044687319742	0.370433690914473	MAX_ D1	AB205_0114290	eAxmH
AB205_0125540	0.591453078730335	3.14569343148182	6.86987098045116	5.42877067504889	2.31743324788336	0.334761199918488	MAX_ D2	AB205_0125540	eAxmH
AB205_0130350	0.638474692487118	329.16936770745	202.165605457122	102.516444342686	42.2578102845568	129.072367452662	MAX_ D1	AB205_0130350	eAxmH
AB205_0167070	0.63221667129751	1.51104447841456	3.37893377722638	2.57107049317207	7.03592025909807	2.88972794469248	MAX_ D4	AB205_0167070	eAxmH
AB205_0191090	0.615018382781502	0.992944902171133	0.868906537874878	2.25794295267891	3.91205893493382	1.90448870897467	MAX_ D4	AB205_0191090	eAxmH
AB205_0199370	0.738839976128118	3.44698193747285	4.2815876470289	3.01173644099007	1.37609794776213	11.5986395942416	MAX_ D5	AB205_0199370	eAxmH
AB205_0212120	0.508852904049017	2.17370114482847	3.98038951943155	0.523035893590499	4.30582266296605	1.78204262853229	MAX_ D4	AB205_0212120	eAxmH
ACTB	0.508033552643592	3.4513865813067	5.4164791327878	10.9602542741687	11.33347803732	2.47464371658559	MAX_ D4	ACTB	eAxmH
ACTN2	0.521478896018405	16.7646330888421	28.0414205210587	22.2285667160898	10.9667635485001	3.7136826663646	MAX_ D2	ACTN2	eAxmH
ADAMTS16	0.516762761129847	3.92526278388972	4.08621192100279	5.82448736579724	8.33382171880038	2.27288991582707	MAX_ D4	ADAMTS16	eAxmH
ADAMTS19	0.561315235583261	2.27627158771551	1.97063969403598	5.96622123354454	6.09195200786777	0.47665361034219	MAX_ D4	ADAMTS19	eAxmH
ADAMTSL2	0.512666365120039	3.58985226167316	3.57983548842931	6.43678724707239	4.71671590291569	0.661048051240906	MAX_ D3	ADAMTSL2	eAxmH
ADGRD2	0.942049136472334	0.116520160440162	0.172491190103698	0.0272337740744087	1.21519646190637	6.60663833677612	MAX_ D5	ADGRD2	eAxmH
ADIPOQ	0.68754514842125	3.71362594857583	9.16560092541236	4.92811969987666	2.69241341324803	0.121186845418584	MAX_ D2	ADIPOQ	eAxmH
ADPRHL1	0.610527157625875	3.89443361109801	10.0856910300359	6.34467034105041	5.03456562838765	0.438741430565143	MAX_ D2	ADPRHL1	eAxmH
AK5	0.648432556386907	3.49581975129577	1.24420171004034	1.05993046360856	1.03210374297274	1.57982973655921	MAX_ D1	AK5	eAxmH
ALDH1A2	0.556149465566328	13.2951378375397	32.2177270212952	60.9998822380548	65.7974421778353	10.3041724031137	MAX_ D4	ALDH1A2	eAxmH
ALDOC	0.527813593869325	5.31082776705144	6.73720687258524	11.5157418488721	19.1653983509165	12.6347857890193	MAX_ D4	ALDOC	eAxmH
ALKAL2	0.762893659292658	0.379666325332264	0.634838275358983	2.56503834582177	7.54329326120751	3.57470770167603	MAX_ D4	ALKAL2	eAxmH
AMEX60DD000156	0.534492612278402	0.756608361698532	4.51301569772678	1.95731863660464	4.84625858812622	1.79693400629804	MAX_ D4	AMEX60DD000156	eAxmH
AMEX60DD000168	0.649315916926183	1.58816266235831	1.12012267773352	3.72556208645081	2.17723938674506	0.340456570049427	MAX_ D3	AMEX60DD000168	eAxmH
AMEX60DD000192	0.571814208947494	10.4550289043688	4.20620714133929	5.16637971524141	3.10963787756565	5.42455455342952	MAX_ D1	AMEX60DD000192	eAxmH
AMEX60DD000339	0.671124430547107	4.00200218410075	1.28590339832593	1.56718201901934	1.24811102412583	1.16344654752033	MAX_ D1	AMEX60DD000339	eAxmH
AMEX60DD000508	0.543854128233046	4.67814168940913	12.5133394971411	4.19221065876581	5.12536963499511	14.5288290002626	MAX_ D5	AMEX60DD000508	eAxmH
AMEX60DD000589	0.541416105492724	6.41659373474782	2.30036031657381	2.643421922435	3.41900843464708	3.40739550375067	MAX_ D1	AMEX60DD000589	eAxmH
AMEX60DD000740	0.521003696010854	4.02840728327703	2.59375429329779	1.83555049252084	1.64102942970079	1.6480345830912	MAX_ D1	AMEX60DD000740	eAxmH
AMEX60DD001007	0.580994245064125	2.44506028596567	4.24811725980047	6.83790572641029	9.42033053159708	2.25760755237278	MAX_ D4	AMEX60DD001007	eAxmH
AMEX60DD001071	0.720647354719639	0.654068805475006	1.35866823434284	1.66250900661236	3.44848151691706	0.178123689374638	MAX_ D4	AMEX60DD001071	eAxmH
AMEX60DD001082	0.640944773192901	1.25547705203058	1.19508704386717	0.733947860140008	5.03467607189837	4.04639507954521	MAX_ D4	AMEX60DD001082	eAxmH
AMEX60DD001284	0.538335038657182	3.16777050617086	2.11641471891881	1.75313999696181	0.683724686033001	1.29651519118353	MAX_ D1	AMEX60DD001284	eAxmH
AMEX60DD001332	0.847783151539238	0.81640183969982	0.477858787516962	0	0.566010392515836	3.05529748931202	MAX_ D5	AMEX60DD001332	eAxmH
AMEX60DD001455	0.713050026803131	5.1830252633548	1.64456328531744	1.72294176712164	0	2.58157078915433	MAX_ D1	AMEX60DD001455	eAxmH
AMEX60DD001518	0.619200322038028	0.52850893006819	0	3.53851243835766	3.95562459381309	1.95818091742407	MAX_ D4	AMEX60DD001518	eAxmH
AMEX60DD001638	0.677267164692837	1.21238117512309	0.780319330969227	1.48108041237834	3.1951402350234	0.650925750541735	MAX_ D4	AMEX60DD001638	eAxmH
AMEX60DD001658	0.514425451489683	73.3610921957381	40.8105361680091	34.4104606132541	17.1591228508225	50.1089972525914	MAX_ D1	AMEX60DD001658	eAxmH
AMEX60DD001815	0.561341195027983	1.63680569947155	2.73958929003507	4.43889622671783	10.5662046180588	9.72454354716548	MAX_ D4	AMEX60DD001815	eAxmH
AMEX60DD001869	0.57274397387366	6.1977493458284	9.66287485088881	4.88472120938639	4.89940057373691	0.532214910035895	MAX_ D2	AMEX60DD001869	eAxmH
AMEX60DD002100	0.516469334424299	0.325305992085211	1.58954434982774	2.47731680128586	1.57783004406273	3.08666937398559	MAX_ D5	AMEX60DD002100	eAxmH
AMEX60DD002146	0.645649263246682	1.02216245552265	0	3.6373592480468	2.36774003106224	1.76570123094262	MAX_ D3	AMEX60DD002146	eAxmH
AMEX60DD002270	0.698966890244835	1.64366644093129	1.63402292503901	0.750593547530412	3.34538193886462	0	MAX_ D4	AMEX60DD002270	eAxmH
AMEX60DD002304	0.508458900835412	0.950552376739696	1.77997951102314	4.68198498907846	2.7425252214137	3.73249508203837	MAX_ D3	AMEX60DD002304	eAxmH
AMEX60DD002308	0.629352174832576	1.43889860026634	3.52340773192621	2.68870715379602	0.850463224666609	0.245704673337172	MAX_ D2	AMEX60DD002308	eAxmH
AMEX60DD002381	0.677657557943034	18.1024123686673	6.10843726274348	4.39407640902263	5.57180209462767	7.26638747376002	MAX_ D1	AMEX60DD002381	eAxmH
AMEX60DD002394	0.5196707413962	1.82178739074432	2.44962471942575	2.31778830314307	0.898441083057091	3.89714001502583	MAX_ D5	AMEX60DD002394	eAxmH
AMEX60DD002407	0.633809472470181	0.757360310145469	0.649941786892074	1.88983406736037	3.36139150420366	1.62650274823645	MAX_ D4	AMEX60DD002407	eAxmH
AMEX60DD002582	0.615755730589385	1.27085896873426	0.715345951534446	1.26801348687209	3.04016928232396	1.41845209194386	MAX_ D4	AMEX60DD002582	eAxmH
AMEX60DD002602	0.53003167593301	2.39449756219792	0.393717539216633	3.26066653908222	2.74308091471584	0.59834393872474	MAX_ D3	AMEX60DD002602	eAxmH
AMEX60DD002660	0.545186742745832	2.06158992681	2.03225288901176	3.22926773928109	1.33019123958084	0.450821060790341	MAX_ D3	AMEX60DD002660	eAxmH
