,AxmFD1,AxmFD2,AxmFD3,AxmFD4,AxmHD1,AxmHD2,AxmHD3,AxmHD4,AxmHD5,TurFD1,TurFD2,TurFD3,TurFD4,TurFD5,TurHD1,TurHD2,TurHD3,TurHD4,TurHD5,CorFD1,CorFD2,CorFD3,CorFD4,CorFD5,CorHD1,CorHD2,CorHD3,CorHD4,CorHD5,ChiFD1,ChiFD3,ChiFD4,ChiHD1,ChiHD2,ChiHD3,ChiHD4,EmuFD1,EmuFD3,EmuFD4,EmuHD1,EmuHD3,EmuHD4,OstFD1,OstFD3,OstFD4,OstHD1,OstHD2,OstHD3,OstHD4,OstHD5
SHH,0,0,0,0,0,0,0,0,0,0,0,0,0.4047312,1,0,0,0,0.709526556,1,0,0.126117418,0.201664847,1,0.851306206,0,0.161005975,0.43684262,1,0.329223269,0,0.279868274,1,0.789863151,0,0.123496002,1,0.077107804,0,1,0,0.305529016,1,0,0,0,0,0,0,0,0
CHRDL1,0,0.739085472,0.647600564,1,0.441889618,1,0.568589556,0.644076612,0,0.311914719,0.18834686,1,0.555140936,0,0.585742667,0.528891816,1,0.347908981,0,0,1,0.988183227,0.803656778,0.404024217,0,1,0.883346602,0.950271171,0.014658183,1,0.063633768,0,0,0.526384385,1,0.548161248,0,0.740187387,1,0,1,0.573115424,0,1,0.179757259,0.067481972,0.253369338,1,0.68845841,0
GSC,0,0,0,0,0,0,0,0,0,0.232962585,0,1,0.795278949,0.627554945,0,0.018802772,0.701389931,1,0.347880346,0,0.387024559,0.349865967,1,0.756545692,0,0.357335314,0.212921623,1,0.036332821,0,1,0.802917184,0.380674881,0,1,0.406826423,1,0.10799492,0,0,0.234082461,1,0,0.034317006,1,0.307459574,0,0.095813166,1,0.567527334
HOXD9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253927763,0.715799512,0.957843621,1,0,0.234221603,1,0.550550418,0.25592481,0.129032208,0,1,0,0.15196021,0.85650916,1,0,0.245732427,1,0.206870757,0,1,0,1,0.991986406,0.005519226,0,1,0.690952659,0.27252219
PTCH2,0.523083481,0.895452274,1,0,0.359191252,0.898597749,1,0.602949394,0,0,0,0,0,0,0,0,0,0,0,0,0.087958708,0.095467144,1,0.209516696,0,0.145931312,0.255207955,1,0.053828321,0,0.832674968,1,0,0.456716733,0.876927031,1,0,0.008287098,1,0,1,0.791062987,0,1,0.580062431,0.093391179,0.47520387,0.877690101,1,0
FGF8,1,0.720958383,0.555046382,0,0.530961756,1,0.259909073,0.210101299,0,0.250909015,1,0.457627584,0.044113776,0,0.40667947,0.556995511,1,0.112518664,0,0.160593837,0.639706395,0.784076296,1,0,0.166448998,0.662824114,0.775388265,1,0,1,0.487553062,0,0,1,0.446231207,0.931330968,1,0.133919692,0,0.248708443,1,0,1,0.292281672,0,0.1422697,0,0.082248299,0.054890275,1
GREM1,0.252475596,0.120613987,1,0,0,0.136386626,0,0.261475728,1,0,0.1177557,0.521722247,0.188831907,1,0.128679118,0,0.282536117,0.437586983,1,0.540050043,0.819833314,1,0.971429463,0,0.911694848,0.475736872,0.868358623,1,0,1,0.277136251,0,1,0.028543271,0.117890338,0,1,0.869440169,0,1,0.650283587,0,0,0.026854758,1,1,0.038307079,0.100134047,0,0.164366148
ACAN,0.003176311,0,1,0.238724338,0.007170603,0,0.131141465,0.810091428,1,0.395478171,0.067756766,1,0.379479926,0,0.224244834,1,0.63583486,0.341904907,0,0,0.825950897,1,0.70499013,0.23707806,0.586082403,0.96810595,1,0.579837887,0,1,0.006741626,0,0,0.274231332,1,0.340219309,0,1,0.140222837,0,1,0.171353781,0,1,0.192264598,0.170056337,0.938245977,1,0.86348589,0
BMPER,0.214297554,0.174432573,1,0,0,0.39138412,0.70145166,1,0.205765819,0,0.104646959,0.343813042,0.747961637,1,0,0.19397198,0.404389361,0.746948088,1,0,0.974817729,1,0.681940578,0.542293475,0.298205571,0.12133882,0,0.028584741,1,0,0.124808853,1,0,0.309328002,1,0.500801495,0,1,0.765718689,0,1,0.338835503,0.324124836,0,1,0.078788518,0.361714331,1,0.362467339,0
TFAP2B,1,0,0.097088824,0.778501589,1,0,0.085031747,0.094598248,0.195515018,0.270958196,0.266071308,1,0.804665776,0,0.455679019,0.777230062,1,0.695854431,0,0.351076816,0.321535062,0.763390898,1,0,0.448002069,0.832542956,1,0.962003438,0,0,1,0.343887496,0,0.416423159,0.775300643,1,0,1,0.078330419,0,1,0.186526209,0,1,0.444097791,0.066951285,0,1,0.425152594,0.135992752
COL14A1,1,0.043354895,0.528789402,0,0.670416753,0.973310155,1,0,0.077825156,0.529786914,0,0.09491738,0.277729684,1,1,0,0.083870983,0.285697229,0.793228498,0.030198309,0.141145959,0.440800415,1,0,0.752023936,0.965311012,0.304980271,0,1,0,0.257768271,1,0.81747056,0,0.175660291,1,1,0,0.143858413,0,0.196668133,1,1,0.519029976,0,0.0224549,0.243106851,0.748926354,1,0
SIM1,1,0.178277019,0,0.543502401,0.277911496,0,0.059409698,0.276090417,1,0.655123098,0,1,0.87727898,0.149679196,0.683191661,0.312387668,0.508407184,0,1,0,0,0,0,0,0,0,0.081043814,0,1,0,0.311356861,1,0.642243933,0,0,1,0.078918546,0,1,0,0.35865276,1,0.237128455,0,1,0.976877224,0.050549895,0.050268835,0,1
