Tau	D1	D3	D4	Tau_info	gene	names
ANGPT2	0.702893301364642	47.7648056947659	57.4798686169706	177.11595664981	MAX_ D4	ANGPT2	eEmuF
ANGPTL5	0.813632001729408	3.23351384434379	0.985916394537906	0.21933061056329	MAX_ D1	ANGPTL5	eEmuF
ANK1	0.845710268026982	12.7894164524548	2.88890193537161	1.0576493377095	MAX_ D1	ANK1	eEmuF
ANK2	0.765635229197995	22.2328004938718	6.47424317678059	3.94692720728534	MAX_ D1	ANK2	eEmuF
ANKRD1	0.713998969004147	7.37245766791284	3.59056965043258	0.626491337560127	MAX_ D1	ANKRD1	eEmuF
ANKRD29	0.659593134703942	5.80662881755275	2.38908580475758	1.56414682268419	MAX_ D1	ANKRD29	eEmuF
ANKRD34B	0.516179575808104	1.21298043830364	3.31332430405624	1.99312750224398	MAX_ D3	ANKRD34B	eEmuF
ANKRD37	0.54103276452675	3.6261265417238	6.10831994334387	10.6047291970965	MAX_ D4	ANKRD37	eEmuF
ANO3	0.52976056042173	6.17232026100065	2.65105611022921	3.15388073063188	MAX_ D1	ANO3	eEmuF
ANOS1	0.707687446534829	46.260539595464	18.6348010824022	8.41027182525124	MAX_ D1	ANOS1	eEmuF
ANTXR1	0.594662198161722	102.884665153213	61.5848271670272	21.8212608651141	MAX_ D1	ANTXR1	eEmuF
ANXA1	0.585374015943619	138.704174152557	93.2626267316479	279.730178286007	MAX_ D4	ANXA1	eEmuF
AP1M2	0.531233660055827	123.489669965303	58.7028600762972	57.0727411448006	MAX_ D1	AP1M2	eEmuF
APC2	0.592857468437073	4.22807749512667	1.96276780589499	1.48009254412523	MAX_ D1	APC2	eEmuF
APCDD1L	0.513574014572247	36.7694929212882	51.7426814673574	13.5684767215791	MAX_ D3	APCDD1L	eEmuF
APOD	0.939156214267286	10.8539081382591	0.882642381272276	0.438143340981318	MAX_ D1	APOD	eEmuF
AQP4	0.82430679818196	11.1087363124634	31.6479544117709	121.679980448293	MAX_ D4	AQP4	eEmuF
AR	0.591021222380251	89.2810477529169	41.9225574764986	31.1055500726981	MAX_ D1	AR	eEmuF
ARAP2	0.606269865941938	28.4037160655249	9.5656911275719	12.8011067408806	MAX_ D1	ARAP2	eEmuF
AREG	0.583223152186504	3.54786281960326	1.88668341044376	1.07065075441414	MAX_ D1	AREG	eEmuF
ARHGAP22	0.504749797535743	4.84742537912153	2.31656148212386	2.48481531875677	MAX_ D1	ARHGAP22	eEmuF
ARHGAP24	0.52496411508585	28.2994293275779	21.6762272384108	52.6019803483062	MAX_ D4	ARHGAP24	eEmuF
ARHGAP40	0.52132582452032	49.8341402899296	31.0019976061219	16.7066344219196	MAX_ D1	ARHGAP40	eEmuF
ARL14EPL	0.86856798932136	16.7697801705632	2.96877434743907	1.43939750547276	MAX_ D1	ARL14EPL	eEmuF
ARL4A	0.518802149771153	140.240364934263	67.0158009353011	67.9509233080517	MAX_ D1	ARL4A	eEmuF
ARL4C	0.528117791319852	140.060683464696	56.0836629467596	76.100626378384	MAX_ D1	ARL4C	eEmuF
ART1	0.959805211699873	4.62885465498233	0.372111665858141	0	MAX_ D1	ART1	eEmuF
ASAP3	0.529425898516775	118.930807537994	64.874008511623	47.0575072801088	MAX_ D1	ASAP3	eEmuF
ASB12	0.949871900667126	11.8638746616966	1.18942697502858	0	MAX_ D1	ASB12	eEmuF
ASB2	0.6813123853466	5.24919169076668	2.35116722071689	0.99453753686087	MAX_ D1	ASB2	eEmuF
ASPSCR1	0.687345593923872	0.923511962022374	2.12247708992994	4.87117563795127	MAX_ D4	ASPSCR1	eEmuF
ASS1	0.519524863351613	1.37553571918337	2.13075947684625	3.64877901954325	MAX_ D4	ASS1	eEmuF
ATP1B4	0.825052166504625	9.26117911415205	2.29997513423982	0.94047130902722	MAX_ D1	ATP1B4	eEmuF
augustus_masked-1-processed-gene-161.12	0.54913533536402	9.78726188776232	22.2238826567905	10.2526649141641	MAX_ D3	augustus_masked-1-processed-gene-161.12	eEmuF
augustus_masked-20-processed-gene-1.8	0.580786023613518	5.86632872287929	3.22496777077055	10.8432650218565	MAX_ D4	augustus_masked-20-processed-gene-1.8	eEmuF
augustus_masked-3-processed-gene-217.7	0.604004537053765	1.03804292748994	11.9080837713945	8.39305136422189	MAX_ D3	augustus_masked-3-processed-gene-217.7	eEmuF
augustus_masked-4-processed-gene-109.27	0.870709411347429	3.1585357232495	0	0.816737885878203	MAX_ D1	augustus_masked-4-processed-gene-109.27	eEmuF
augustus_masked-5-processed-gene-14.16	0.661964918252417	9.85760500631332	2.24307461500823	4.42135801328078	MAX_ D1	augustus_masked-5-processed-gene-14.16	eEmuF
augustus_masked-6-processed-gene-24.10	0.697359297331499	1.35396903585645	5.17454249576209	1.77808531795447	MAX_ D3	augustus_masked-6-processed-gene-24.10	eEmuF
augustus_masked-Scaffold_228-processed-gene-0.0	0.715273756206021	0.791727656560126	3.21616913068852	1.03972785541405	MAX_ D3	augustus_masked-Scaffold_228-processed-gene-0.0	eEmuF
AUTS2	0.556852848012881	130.855631554585	64.4091818479623	51.5674190418179	MAX_ D1	AUTS2	eEmuF
B3GALT5	0.887882342414438	4.46193026410731	1.00052233904368	0	MAX_ D1	B3GALT5	eEmuF
