Tau	D1	D3	D4	Tau_info	gene	names
BFSP2	0.622820111960447	4.6196514245418	1.00790519383145	2.47697402034943	MAX_ D1	BFSP2	eEmuH
BLEC2	0.603909452959034	4.58916955161915	1.65597538221487	1.97947797411428	MAX_ D1	BLEC2	eEmuH
BMF	0.503726842528872	1.49284498332187	4.0238555666532	2.50101803121965	MAX_ D3	BMF	eEmuH
BMP3	0.571928976604182	1.95969089208786	4.56016939650286	7.61539549777245	MAX_ D4	BMP3	eEmuH
BMPER	0.537527898490189	10.0479396133756	28.4781313637307	16.2927429043384	MAX_ D3	BMPER	eEmuH
C12orf75	0.726493987586605	3.69280437312697	0	6.75086507338899	MAX_ D4	C12orf75	eEmuH
C19H17orf78	0.644266621775673	0.854481397475444	3.77856669468884	1.83384319281974	MAX_ D3	C19H17orf78	eEmuH
C1QL2	0.932400573913992	0.42292513612421	1.70058077971561	15.70653804914	MAX_ D4	C1QL2	eEmuH
C1QTNF6	0.589958199270868	6.32799869612138	8.10300816855431	17.5969947929877	MAX_ D4	C1QTNF6	eEmuH
C1QTNF8	0.528979941654444	1.35218416965331	2.29926779169439	3.87611089660737	MAX_ D4	C1QTNF8	eEmuH
CA3A	0.641974199813765	5.58017086236267	6.66945793552289	17.1071872355479	MAX_ D4	CA3A	eEmuH
CA4	0.828605139264089	0.390707222347018	4.46314320819885	1.13921239488032	MAX_ D3	CA4	eEmuH
CACNA1I	0.554126291142519	1.22727482551481	1.96987065779895	3.5852590316507	MAX_ D4	CACNA1I	eEmuH
CACNG1	0.572993904836789	15.1371150283636	3.29395103201436	21.5817365011303	MAX_ D4	CACNG1	eEmuH
CATSPER3	0.672566720048256	1.66901924214721	5.24226937363829	1.76396766865471	MAX_ D3	CATSPER3	eEmuH
CBLN2	0.51629610828555	28.1014095252294	55.3381609473186	25.4331580958478	MAX_ D3	CBLN2	eEmuH
CBLN4	0.638162698531189	2.28144968796798	1.09057488059495	4.65958671877502	MAX_ D4	CBLN4	eEmuH
CCDC113	0.524860994086205	10.8550399968063	11.7494974199384	23.7872887043564	MAX_ D4	CCDC113	eEmuH
CCDC178	0.574906094908516	2.29754576485494	6.26042081229844	3.02498769637695	MAX_ D3	CCDC178	eEmuH
CCK	0.829792872728221	8.097251195123	11.9893611058094	59.0063783547061	MAX_ D4	CCK	eEmuH
CCLI5	0.671058853077587	29.8453702496596	6.86136214970539	12.7733784907888	MAX_ D1	CCLI5	eEmuH
CD200R1L	0.709456765077945	3.81205264754423	1.25635942621437	0.958772789607001	MAX_ D1	CD200R1L	eEmuH
CD48	0.619669043927253	6.02898080832629	5.04511922772455	14.5585047170505	MAX_ D4	CD48	eEmuH
CDH20	0.630607359011024	6.82780434855945	3.64593107928631	14.1769681710556	MAX_ D4	CDH20	eEmuH
CDH8	0.684238465048618	5.70397222774031	0.560283790053749	3.04190626184892	MAX_ D1	CDH8	eEmuH
CDHR1	0.547737489990233	2.14550777499886	0.777283731825127	3.23129978954133	MAX_ D4	CDHR1	eEmuH
CEBPA	0.592113661713769	48.0849791008322	15.7479012757911	23.4785108282257	MAX_ D1	CEBPA	eEmuH
CHODL	0.694652825550849	45.2536319066137	45.8147554315923	149.122695342595	MAX_ D4	CHODL	eEmuH
CHRDL2	0.674420033680368	2.06414690748396	5.00898338752597	1.19750237772864	MAX_ D3	CHRDL2	eEmuH
CHRM3	0.564132153741418	1.34620600858537	4.50326871859306	2.57945406640823	MAX_ D3	CHRM3	eEmuH
CHRNA10	0.821897763013883	1.44793965912265	0.582216128617332	5.69941125416138	MAX_ D4	CHRNA10	eEmuH
CHRNA3	0.882709560917642	0.470159495213185	1.94972836821438	10.3157933517854	MAX_ D4	CHRNA3	eEmuH
CIB2	0.530318001295495	3.44051869581584	1.02596189570993	4.75479218263143	MAX_ D4	CIB2	eEmuH
CITED4	0.562517078700899	15.4750423927662	6.89855110444634	6.64158240198325	MAX_ D1	CITED4	eEmuH
CLMN	0.611947081771207	6.37766883048586	9.28204170161258	20.1772874220026	MAX_ D4	CLMN	eEmuH
CLRN2	0.72629555937866	1.0295800444991	1.65597538221487	4.9059405477994	MAX_ D4	CLRN2	eEmuH
CLSTN2	0.546956523973534	8.50251004560895	9.61812687306522	19.9987836461148	MAX_ D4	CLSTN2	eEmuH
CNNM1	0.601561659136969	29.5241196524891	15.2181861058919	8.30889639366685	MAX_ D1	CNNM1	eEmuH
CNR1	0.558223423116119	8.74729434301031	2.74691416590126	4.98178533780041	MAX_ D1	CNR1	eEmuH
CNTNAP2	0.564267379298145	1.53959932936882	1.34362532397704	3.30847923286271	MAX_ D4	CNTNAP2	eEmuH
COL22A1	0.527816533501143	13.35626466981	12.4970654076187	27.3763610034102	MAX_ D4	COL22A1	eEmuH
COL3A1	0.660353066465133	18.6488347984798	32.3845467457168	75.1271048041976	MAX_ D4	COL3A1	eEmuH
COL5A2	0.512160340620358	285.303695838873	328.576424338475	629.182261399149	MAX_ D4	COL5A2	eEmuH
COL6A1	0.518164095965477	49.4369709307744	57.5798390311982	111.051095472438	MAX_ D4	COL6A1	eEmuH
COL8A1	0.569786104192135	3.78639308036047	1.65221351174187	6.32081697627364	MAX_ D4	COL8A1	eEmuH
COMP	0.539512556631183	3.52384286159658	1.60606025807391	5.57007926442178	MAX_ D4	COMP	eEmuH
COPZ2	0.700315738199474	1.74299753746381	1.24816612416864	4.99052510075323	MAX_ D4	COPZ2	eEmuH
CPB1	0.525645250382627	1.18834584964062	3.33276428062411	1.97347928209773	MAX_ D3	CPB1	eEmuH
CPLX1	0.512410563190111	5.39039400038512	2.21109967937405	3.04549867028832	MAX_ D1	CPLX1	eEmuH
CPNE4	0.829075866184426	3.33416837439121	4.6412679897801	23.3303401518967	MAX_ D4	CPNE4	eEmuH
CPZ	0.500468983505191	7.91415116118296	5.48552235530713	13.4122537680594	MAX_ D4	CPZ	eEmuH
CREB3L1	0.506239244052346	8.05881874223396	17.641398122384	9.36244140352973	MAX_ D3	CREB3L1	eEmuH
CRH	0.702769789878029	2.84612006258815	1.83107851930708	7.86797307712413	MAX_ D4	CRH	eEmuH
CRHR2	0.638399617568856	7.49611683228232	30.4993160040444	52.5378770078621	MAX_ D4	CRHR2	eEmuH
CRLF1	0.587762471308372	206.130420459601	117.014552596474	52.9348376403901	MAX_ D1	CRLF1	eEmuH
CRYBB2	0.615640298441096	3.1383438092153	0	2.41250577979845	MAX_ D1	CRYBB2	eEmuH
CST7	0.669175908049714	1.9885794636725	2.43408429674957	6.68431330733717	MAX_ D4	CST7	eEmuH
CTXN3	0.561549244427978	3.95108859236815	2.63379974790196	0.830915809409663	MAX_ D1	CTXN3	eEmuH
CUNH10orf53	0.949117793272591	0	3.33932225835065	0.339824170957671	MAX_ D3	CUNH10orf53	eEmuH
CUNH10orf99	0.549116085207808	2.62820615939712	2.15216590066472	5.30111177537245	MAX_ D4	CUNH10orf99	eEmuH
