Tau	D1	D2	D3	D4	D5	Tau_info	gene	names
ABCA2	0.508878786102584	23.88121183072	17.9697289126224	17.6747288326287	16.4435323062648	38.6713095120465	MAX_ D5	ABCA2	lCorH
ABCC9	0.530155259588708	7.68328939712723	7.26368881553523	5.905796781052	7.3185463173641	14.989697068024	MAX_ D5	ABCC9	lCorH
ABI3BP	0.589148111720058	34.3551081059238	35.2250949929119	34.3574716751259	36.2492557537022	85.3025959759887	MAX_ D5	ABI3BP	lCorH
ABL2	0.51062393074896	14.2002627444213	11.6970922641729	8.49214816311102	10.0136059354161	22.6835310802373	MAX_ D5	ABL2	lCorH
ABRA	0.760925512311492	4.54927433392307	0.929267451676044	0.848387978008621	5.16824305616967	12.0204929966791	MAX_ D5	ABRA	lCorH
ACE	0.630255656544509	13.6955657237395	8.54850332753904	4.46969831072584	3.22890682050904	4.00832336832841	MAX_ D1	ACE	lCorH
ACER2	0.845773226055705	0.800817348679635	1.09783901888357	0.569299472680347	0.599964137813757	4.97306644559234	MAX_ D5	ACER2	lCorH
ACSS1	0.576192607306274	6.41055654665526	3.9756056118552	2.64858776759831	2.60112049382225	9.22345308829396	MAX_ D5	ACSS1	lCorH
ACTA1	0.622093064036019	247.671424328499	135.103216586667	153.438279605788	269.254633570643	532.847824052883	MAX_ D5	ACTA1	lCorH
ACTC1	0.676108603279076	1338.37041646234	751.193260601493	790.147227450012	2198.9514930827	3920.03496311797	MAX_ D5	ACTC1	lCorH
ACTN2	0.730186809488834	59.5800988398506	31.2190866595868	30.5265333837786	84.206357578332	190.439240639203	MAX_ D5	ACTN2	lCorH
ADAM12	0.590601659293768	4.98806738507175	3.53062174523184	4.89528751773509	5.06058811990667	11.2815337356252	MAX_ D5	ADAM12	lCorH
ADAM19	0.795192034749798	39.5694298710357	40.3974652954404	32.4951447401161	45.2866919356277	192.556880843852	MAX_ D5	ADAM19	lCorH
ADAMTS12	0.667758564925308	3.12056358720618	2.80125034099442	2.35193480627717	1.39255307070538	7.27355229112983	MAX_ D5	ADAMTS12	lCorH
ADAMTS14	0.576245858571641	6.02807417921871	5.42564842732389	4.57776233126624	4.95795424162501	12.383028935531	MAX_ D5	ADAMTS14	lCorH
ADAMTS2	0.646337320658782	28.5600349974529	23.7912120972004	18.625428473352	26.1313049758289	68.6444924897937	MAX_ D5	ADAMTS2	lCorH
ADAMTS7	0.695243068146094	72.5600635951155	58.9906913897256	47.82449361526	53.3469565994429	190.90804906704	MAX_ D5	ADAMTS7	lCorH
ADAMTS9	0.535065055525983	49.0458540284904	54.4732949649253	65.6125347593391	82.1005920788961	135.090015720302	MAX_ D5	ADAMTS9	lCorH
ADAMTSL3	0.528017181612194	23.8120750029098	18.4750176797742	19.2787034868888	21.7711941344537	44.141961877282	MAX_ D5	ADAMTSL3	lCorH
ADARB1	0.599241292099756	3.85116126356251	3.81303831465065	5.04418942215958	5.04446082383098	11.0745253155065	MAX_ D5	ADARB1	lCorH
ADCY8	0.505603389355014	4.9797056821578	6.25232987157329	9.43085732344538	13.4605668346503	5.95654160446919	MAX_ D4	ADCY8	lCorH
ADGRB3	0.621218614789009	2.00550762962826	1.35510607977626	1.98030805151496	5.14023290705025	2.44717640243898	MAX_ D4	ADGRB3	lCorH
ADGRE3	0.699379087089333	6.94140875269076	3.70524067082091	3.33213100431192	8.6308438751971	18.8024379975017	MAX_ D5	ADGRE3	lCorH
ADGRG6	0.525022173105631	62.4297718873371	30.0355704540711	25.569210513727	22.7674608512939	40.2387877191422	MAX_ D1	ADGRG6	lCorH
ADORA2A	0.650452497320317	2.7910291637827	1.78013457518605	1.43692506077052	2.3121170544633	5.95069753783008	MAX_ D5	ADORA2A	lCorH
ADPRHL1	0.79131600530214	8.71623582737194	5.4085987961207	7.91114986942909	10.6506651674061	39.1580697260141	MAX_ D5	ADPRHL1	lCorH
ADRA1D	0.734678958227259	1.47642495458796	2.24456194670363	1.44273293470406	1.29912332005041	6.08964437278007	MAX_ D5	ADRA1D	lCorH
ADTRP	0.771667141649383	0.660363896366336	0.532858147635375	0.403219308202795	1.4906424588395	3.38002580240075	MAX_ D5	ADTRP	lCorH
AFAP1L1	0.501167068692819	11.4219210130884	8.73113128187193	9.45499793249844	12.8846986729344	21.2960824323696	MAX_ D5	AFAP1L1	lCorH
AFF3	0.595503172634616	4.42712942292386	4.36934337548422	3.60348278174779	3.2473616686342	9.67085289068027	MAX_ D5	AFF3	lCorH
AGPAT4	0.596362313816634	8.0337592853772	6.1445955526411	5.54637634681081	6.35727737943716	16.1543442653281	MAX_ D5	AGPAT4	lCorH
AHRR	0.557878837197994	2.27161800713242	2.5504495515232	1.56670242425793	2.25168558524246	4.88579618842259	MAX_ D5	AHRR	lCorH
AJAP1	0.650482083213407	4.90751261697978	2.40685553426122	2.58435019996916	3.60494113403991	9.65877487011279	MAX_ D5	AJAP1	lCorH
