Tau	D1	D2	D3	D4	D5	Tau_info	gene	names
A306_00009022	0.546291452454639	2.44390505523011	2.56765895262396	3.91090794666014	6.36730506763745	2.6331309815498	MAX_ D4	A306_00009022	lAxmH
A6R68_22628	0.764766914718888	1.13342502745852	0	1.25653506356989	0.704604107912401	3.28882754231053	MAX_ D5	A6R68_22628	lAxmH
AAES_53214	0.542653445086993	1.12292816050411	2.2473618307834	2.25604985243721	3.28382884964414	0.381051401510044	MAX_ D4	AAES_53214	lAxmH
AB205_0022900	0.532390597388991	1.57538619660216	1.14583328607452	1.76933435286077	3.08899799780366	1.28722419814084	MAX_ D4	AB205_0022900	lAxmH
AB205_0023860	0.502422563503438	0.876322225702756	4.59284378108994	4.12597765170703	2.58142226109773	1.55745960078812	MAX_ D2	AB205_0023860	lAxmH
AB205_0033650	0.536490300820576	1.26853210784269	1.51105103116473	2.02146987845648	3.39197353855744	4.4190157026519	MAX_ D5	AB205_0033650	lAxmH
AB205_0067700	0.675494873655372	36.3231836814202	35.5640265618358	44.0671751225401	113.941303354821	177.112524623467	MAX_ D5	AB205_0067700	lAxmH
AB205_0102320	0.640753980111155	21.3993030245933	30.3885326485592	76.333965978675	35.7167115774783	22.1861465900472	MAX_ D3	AB205_0102320	lAxmH
AB205_0125540	0.645216675857864	4.53455155312053	8.89544605171629	17.1727721774088	2.4526538105353	8.48780137597461	MAX_ D3	AB205_0125540	lAxmH
AB205_0130350	0.795918558070812	401.287622485894	122.138562534414	93.1446569747633	58.0068767205034	54.2913302713466	MAX_ D1	AB205_0130350	lAxmH
AB205_0136590	0.685162884770737	0.65306870629753	1.4726797197117	0.397766084242109	4.35969126764856	2.96685597773538	MAX_ D4	AB205_0136590	lAxmH
AB205_0156130	0.649392000365686	4.46355518734988	1.48901307817649	0.21923683156735	1.3040933172222	3.24748939501038	MAX_ D1	AB205_0156130	lAxmH
AB205_0167070	0.767381611292291	0.541888379055407	0.586815793441986	1.03560724740329	1.47573698383313	3.91203853654453	MAX_ D5	AB205_0167070	lAxmH
AB205_0198320	0.592725669079012	1.89469482302905	2.75219255350555	3.75235182604369	6.74559530336616	2.58999205279055	MAX_ D4	AB205_0198320	lAxmH
ABCC9	0.584971298655202	1.29030086016351	2.85193132994574	4.36859817588406	5.8467966354516	1.19552329256114	MAX_ D4	ABCC9	lAxmH
ABTB2	0.607743306987184	0.612965827672661	2.38039628734387	3.55994131678243	6.27994688792711	3.3001013624187	MAX_ D4	ABTB2	lAxmH
ACAN	0.723835647392299	0.778506323449236	0.687198907046484	2.35710189218013	11.0025791904501	13.4208001260266	MAX_ D5	ACAN	lAxmH
ACTN2	0.562793772487312	10.5205221636349	21.6673017104526	27.0023894293642	34.4794644306915	1.10833297815041	MAX_ D4	ACTN2	lAxmH
ACTN3	0.502868523610444	30.9713385364056	66.8212492921072	87.3599795795052	94.4218134712421	2.60765472933336	MAX_ D4	ACTN3	lAxmH
ADAMTS3	0.580873334680774	1.3137749571511	6.84633723956321	8.69189424909433	14.1052691307244	6.7955712109543	MAX_ D4	ADAMTS3	lAxmH
ADAMTS5	0.527796983358029	2.01899806338796	5.53085549523924	6.37850179176791	8.93242122240154	2.94330963814398	MAX_ D4	ADAMTS5	lAxmH
ADAMTSL3	0.601103378889992	1.3287024427955	2.20115632491754	5.07705987081768	6.77142768005069	2.19747984812127	MAX_ D4	ADAMTSL3	lAxmH
ADGRA2	0.50731945602513	2.04385919552751	4.15686837133987	5.51869159510967	9.09267357055123	6.19971428172337	MAX_ D4	ADGRA2	lAxmH
ADGRF1.S	0.611825423735418	8.49694476666695	1.48732396676685	3.78273774123669	5.72913163593802	2.19399839343645	MAX_ D1	ADGRF1.S	lAxmH
ADORA1	0.810314112106265	0.264318832877671	0.430950671865734	1.15391929207659	3.11022147751429	0.510671693213859	MAX_ D4	ADORA1	lAxmH
ADPRHL1	0.599086251450182	3.67093992359622	8.117434875975	12.6491589380691	15.6018677863843	0.582479456831615	MAX_ D4	ADPRHL1	lAxmH
ADSS	0.526501409195788	8.0249138762288	16.3904301023224	22.5601238242538	17.251149930092	1.06225344796763	MAX_ D3	ADSS	lAxmH
