Tau	D1	D2	D3	D4	Tau_info	gene	names
A306_00009022	0.545740608836325	5.8855266076925	2.94182857768734	12.0021485903531	7.52891094854943	MAX_ D3	A306_00009022	lAxmF
A6R68_19796	0.556427627426354	6.73633505224381	0.709820294071619	4.91113609650512	3.34319997414766	MAX_ D1	A6R68_19796	lAxmF
AAES_15983	0.704787027545307	2.23059356962973	6.71342161154755	1.0584723314907	2.65660154673916	MAX_ D2	AAES_15983	lAxmF
AB205_0020180	0.862087877086663	0.657420241223693	0	4.24507706109218	1.0989225270541	MAX_ D3	AB205_0020180	lAxmF
AB205_0043540	0.638785458987002	0.340218972070866	2.21073801512382	4.79190054989404	2.64175548593504	MAX_ D3	AB205_0043540	lAxmF
AB205_0052110	0.570497199297153	0.952971007563292	0	3.25433817708325	3.24027107691107	MAX_ D3	AB205_0052110	lAxmF
AB205_0057170	0.501644321016195	19.4454744306645	8.35403884561213	24.6478230299881	9.05063446847053	MAX_ D3	AB205_0057170	lAxmF
AB205_0102320	0.535183779511118	3.68843288431325	12.2243801987468	8.47761479055454	4.88022293053404	MAX_ D2	AB205_0102320	lAxmF
AB205_0125540	0.568771851421839	8.65699121945839	8.07453568720875	0.919441269361809	2.20543793090275	MAX_ D1	AB205_0125540	lAxmF
AB205_0156130	0.572788172480564	3.93639393740627	2.34900875976116	3.04501395931663	7.28008609582137	MAX_ D4	AB205_0156130	lAxmF
AB205_0160020	0.845942292248038	0	0	1.77308966871648	3.83641882121041	MAX_ D4	AB205_0160020	lAxmF
AB205_0162410	0.830406154385441	2.17637137210461	1.19507570831315	14.0192301692218	3.76127839044417	MAX_ D3	AB205_0162410	lAxmF
AB205_0185540	0.922539706441062	0	0	7.32531101430897	1.70226222473669	MAX_ D3	AB205_0185540	lAxmF
AB205_0198600	0.613232887383983	3.03053649924503	1.11045506127769	1.390913454009	1.01496703918467	MAX_ D1	AB205_0198600	lAxmF
AB205_0199370	0.656990470059406	1.70043872418912	4.36154638525935	0.49664598686411	2.29107121521249	MAX_ D2	AB205_0199370	lAxmF
ABCC1	0.645777246747119	3.10523040273941	0.32370344260196	4.24542555596438	1.08254514215017	MAX_ D3	ABCC1	lAxmF
ABCC9	0.511395954675204	1.94195483583856	4.0599067287087	2.37507391682186	1.63403180120487	MAX_ D2	ABCC9	lAxmF
ACTN3	0.560723566436009	45.9216800817868	77.7570741569581	42.5801333739432	13.9687372043881	MAX_ D2	ACTN3	lAxmF
ADGRF1.S	0.566058685427673	18.0690416431645	4.54231009476249	10.795687565254	8.18471339107429	MAX_ D1	ADGRF1.S	lAxmF
ADGRG1	0.519598298531847	2.56965949406909	2.04518909511847	5.03356493666569	2.63955089088634	MAX_ D3	ADGRG1	lAxmF
ADGRL4	0.543249324788024	1.83864142004627	3.23002493326303	0.758185231446736	1.82912155616521	MAX_ D2	ADGRL4	lAxmF
ADIPOQ	0.644008016335996	5.72025175578936	19.1295382261843	10.5568087193506	4.15282630400728	MAX_ D2	ADIPOQ	lAxmF
ADSS	0.599569711959696	6.93384059779548	12.8729215701907	5.74503260168798	2.78524987733165	MAX_ D2	ADSS	lAxmF
AK7.S	0.607195010359309	3.3512673935085	2.57341209087449	8.02426555353941	3.53123515851362	MAX_ D3	AK7.S	lAxmF
AKAP14	0.642434263823127	1.82500935770662	1.72043572266072	5.59691728571737	2.45835246839846	MAX_ D3	AKAP14	lAxmF
ALPK1	0.592371824052408	2.62409170600861	1.85501173124617	5.9976395942297	2.85531722610594	MAX_ D3	ALPK1	lAxmF
AMEX60DD000142	0.517041306201798	6.2166304953087	13.4816902749879	6.86184577149992	6.45482230939162	MAX_ D2	AMEX60DD000142	lAxmF
AMEX60DD000192	0.512169939076386	8.58215170875405	1.70134472573824	5.575906931268	5.28264311580532	MAX_ D1	AMEX60DD000192	lAxmF
AMEX60DD000194	0.715007955754147	2.7176356016924	3.17860990223291	0	0	MAX_ D2	AMEX60DD000194	lAxmF
AMEX60DD000248	0.75880212441204	0	6.17644578159001	13.3431784633755	3.47859311528155	MAX_ D3	AMEX60DD000248	lAxmF
AMEX60DD000249	0.533915591400887	9.88596263472317	6.38838264664457	1.51550062168092	5.91919587578814	MAX_ D1	AMEX60DD000249	lAxmF
AMEX60DD000339	0.738451630794338	4.26112356793097	1.12250651155512	0	2.22096324897335	MAX_ D1	AMEX60DD000339	lAxmF
AMEX60DD000399	0.529364842575518	4.07124271464511	5.22127427850758	0.594542551582516	2.70616045983782	MAX_ D2	AMEX60DD000399	lAxmF
AMEX60DD000456	0.763889916760068	0.945587383478434	0.614441329521685	3.06056083429498	0.607859107038675	MAX_ D3	AMEX60DD000456	lAxmF
AMEX60DD000517	0.531597579457527	2.41419321916034	0	3.10731246554626	1.95222482157066	MAX_ D3	AMEX60DD000517	lAxmF
AMEX60DD000541	0.784480908139067	5.19612492940661	2.08850971140303	0.594542551582516	0.676540114959455	MAX_ D1	AMEX60DD000541	lAxmF
AMEX60DD000589	0.600307457804081	8.24080528573098	2.00805864393759	0.952733826881074	6.92057277236749	MAX_ D1	AMEX60DD000589	lAxmF
AMEX60DD000629	0.535754970573953	3.30477164836789	1.76499754178499	0.62805917079311	2.20961472085065	MAX_ D1	AMEX60DD000629	lAxmF
AMEX60DD000645	1	0	0	6.34417046206717	0	MAX_ D3	AMEX60DD000645	lAxmF
AMEX60DD000714	0.862038733568872	3.03877400054206	0	8.97096306617116	0.6741622766055	MAX_ D3	AMEX60DD000714	lAxmF
AMEX60DD000740	0.68054930113838	1.24031591858859	4.43275530583501	0.573584650877381	2.43423977152868	MAX_ D2	AMEX60DD000740	lAxmF
AMEX60DD000770	0.645436655799064	3.46737789439092	0	9.96042149668567	7.12742317215637	MAX_ D3	AMEX60DD000770	lAxmF
AMEX60DD000950	0.881271257139126	0.588149806556527	0	3.45164390782324	0.641278219381212	MAX_ D3	AMEX60DD000950	lAxmF
AMEX60DD001110	0.623934310923707	8.58372331722678	2.01115749986959	3.39095849453312	4.28201547799669	MAX_ D1	AMEX60DD001110	lAxmF
AMEX60DD001125	0.588295049813288	10.955790059973	9.08807573162826	21.0726034802854	5.98321970686442	MAX_ D3	AMEX60DD001125	lAxmF
AMEX60DD001518	0.921005227037288	0.658650522284978	5.34987709324915	0.609186456793908	0	MAX_ D2	AMEX60DD001518	lAxmF
AMEX60DD001592	0.923274759999102	0.539862944914605	0	3.16826533665605	0.18939481010978	MAX_ D3	AMEX60DD001592	lAxmF
AMEX60DD001602	0.68736816640215	4.56225490235025	1.71027566918044	1.46060847317909	1.10803420402808	MAX_ D1	AMEX60DD001602	lAxmF
AMEX60DD001638	0.917564666630428	0.800635066011081	0.650314401155435	10.9779166328656	1.26395518483443	MAX_ D3	AMEX60DD001638	lAxmF
AMEX60DD001775	0.66167576644472	1.15543125707398	0.587569909790574	3.34926465568642	1.65641102596214	MAX_ D3	AMEX60DD001775	lAxmF
AMEX60DD001804	0.705048093383651	1.03445540437994	0.79079493926911	4.27951985255828	1.96150727609469	MAX_ D3	AMEX60DD001804	lAxmF
AMEX60DD001869	0.703625035008307	8.60039656015077	24.9041205303	8.91673273579074	4.62574425500821	MAX_ D2	AMEX60DD001869	lAxmF
AMEX60DD002043	0.573805697365567	4.98202194106857	3.08310872939554	1.14098158941031	2.14583778184364	MAX_ D1	AMEX60DD002043	lAxmF
AMEX60DD002146	0.676421906424952	2.62168737301668	3.19419132332229	5.99121594015869	0	MAX_ D3	AMEX60DD002146	lAxmF
AMEX60DD002165	0.665340138992873	4.44306495745595	1.07927955272505	2.30431398874217	1.07715296185631	MAX_ D1	AMEX60DD002165	lAxmF
AMEX60DD002214	0.74308308504261	3.22183267527351	0	2.48322993432055	0	MAX_ D1	AMEX60DD002214	lAxmF
AMEX60DD002258	0.910845916858718	1.34745668046158	0	10.0642628364956	1.34435369658036	MAX_ D3	AMEX60DD002258	lAxmF
AMEX60DD002286	0.900550069799312	3.75583347200185	0.488101146035765	0	0.632450983872209	MAX_ D1	AMEX60DD002286	lAxmF
AMEX60DD002289	0.59562395369513	2.85421858422897	1.06997541864983	6.09186456793908	3.46601832294499	MAX_ D3	AMEX60DD002289	lAxmF
AMEX60DD002304	0.844353418446881	0.627727962553289	4.07896732367916	0.580586153658044	0.696317844381268	MAX_ D2	AMEX60DD002304	lAxmF
AMEX60DD002394	0.525490770015088	12.9730259405278	7.09047910726601	4.17627786059348	7.2007046809829	MAX_ D1	AMEX60DD002394	lAxmF
AMEX60DD002520	0.883149936153416	0.737502155988052	0.388559946307541	3.93038712366086	0.251735856729099	MAX_ D3	AMEX60DD002520	lAxmF
AMEX60DD002597	0.507167371198996	12.2818416274279	7.89836399948784	6.3016501025047	3.95866278529614	MAX_ D1	AMEX60DD002597	lAxmF
AMEX60DD002630	1	4.39409573787302	0	0	0	MAX_ D1	AMEX60DD002630	lAxmF
AMEX60DD002723	0.51954652769554	7.3080228479697	8.9437357053024	21.3172914394526	14.4741415233613	MAX_ D3	AMEX60DD002723	lAxmF
AMEX60DD002743	1	0	0	5.1333794442206	0	MAX_ D3	AMEX60DD002743	lAxmF
AMEX60DD002817	0.896217551469091	0.632539708076945	0	4.11182732774751	0.647666815952882	MAX_ D3	AMEX60DD002817	lAxmF
AMEX60DD002845	1	3.0619707486378	0	0	0	MAX_ D1	AMEX60DD002845	lAxmF
AMEX60DD003031	0.634807424857161	1.60352317139801	0.801494501793046	3.19429503728466	1.09458081810487	MAX_ D3	AMEX60DD003031	lAxmF
AMEX60DD003051	0.561384979257226	1.97658114575118	3.75079295109116	0.970681716869414	1.9881995215135	MAX_ D2	AMEX60DD003051	lAxmF
AMEX60DD003117	0.787993456486285	1.16641664551816	1.79508272715633	6.55062346838846	1.2048257455041	MAX_ D3	AMEX60DD003117	lAxmF
AMEX60DD003131	0.687827425615059	0.7441006497412	0.743852773924368	3.97388913160202	2.23366417793205	MAX_ D3	AMEX60DD003131	lAxmF
AMEX60DD003132	0.805126977729571	1.60970421097186	0.49030476294789	5.64303820327582	1.19901875445981	MAX_ D3	AMEX60DD003132	lAxmF
AMEX60DD003178	0.825591172303223	1.70413638999553	5.11070611731566	0.969920397875791	0	MAX_ D2	AMEX60DD003178	lAxmF
AMEX60DD003197	0.953224919311289	3.56873884313727	0	0	0.500784142034045	MAX_ D1	AMEX60DD003197	lAxmF
AMEX60DD003265	0.773581666126814	1.98203704421789	0	8.89397607609852	4.05924068975673	MAX_ D3	AMEX60DD003265	lAxmF
AMEX60DD003273	0.608589130423972	5.90469173577966	2.88964536566628	0.822604328575366	3.22123188639806	MAX_ D1	AMEX60DD003273	lAxmF
AMEX60DD003422	0.871958987056016	1.16346661164354	0.872309277051869	0	5.29980158150845	MAX_ D4	AMEX60DD003422	lAxmF
AMEX60DD003781	0.740156842771649	0.706593137315221	5.29768317038818	0.603243174288602	2.81986385136367	MAX_ D2	AMEX60DD003781	lAxmF
AMEX60DD003808	0.720362410749024	0.401250950552965	3.00837963969412	7.95716266465835	3.26573476422171	MAX_ D3	AMEX60DD003808	lAxmF
AMEX60DD003854	0.741239642129902	2.91934620139412	2.84548048016483	9.84371820216528	1.87666545273512	MAX_ D3	AMEX60DD003854	lAxmF
AMEX60DD003869	0.710041526355527	0	0.447845381414259	4.27251713315329	5.42648108105224	MAX_ D4	AMEX60DD003869	lAxmF
AMEX60DD003965	0.586592360363063	2.69322764175884	2.25005189902537	6.08375331137731	2.60193074898547	MAX_ D3	AMEX60DD003965	lAxmF
AMEX60DD004009	0.551929260142605	3.47820216743055	0.672982215293309	1.40718600429793	2.59527363601137	MAX_ D1	AMEX60DD004009	lAxmF
AMEX60DD004073	0.936994745710037	0	0	3.1386948601806	0.59326280341284	MAX_ D3	AMEX60DD004073	lAxmF
AMEX60DD004124	0.873660720937584	0.756405186159897	0	3.01741061940637	0.387247260713342	MAX_ D3	AMEX60DD004124	lAxmF
AMEX60DD004203	0.58110812666406	7.93889036734705	3.77747843453766	3.0244121102241	3.1747194297982	MAX_ D1	AMEX60DD004203	lAxmF
AMEX60DD004274	0.605183070477102	3.04533875329424	8.15925555646574	3.06470043015574	3.55419749453936	MAX_ D2	AMEX60DD004274	lAxmF
AMEX60DD004291	0.605450203577474	3.34142800240085	0.726438160488012	0.137864939497395	3.09077611433794	MAX_ D1	AMEX60DD004291	lAxmF
AMEX60DD004334	0.747512334364269	0.518486163752474	1.18907852182071	5.00301212310743	2.08203187075879	MAX_ D3	AMEX60DD004334	lAxmF
AMEX60DD004337	0.97021310819532	0	0	3.29313965980079	0.29427718423256	MAX_ D3	AMEX60DD004337	lAxmF
AMEX60DD004363	0.677124363951663	2.89745702244358	9.64335139472352	1.90047325028332	4.54287937290003	MAX_ D2	AMEX60DD004363	lAxmF
AMEX60DD004403	0.608070182812017	8.29184843558763	14.3645755150569	2.81326816440606	5.78459976680398	MAX_ D2	AMEX60DD004403	lAxmF
AMEX60DD004628	0.806909555955604	2.36492396978972	0	0	4.08258416842552	MAX_ D4	AMEX60DD004628	lAxmF
AMEX60DD004645	0.531591049385019	25.0700847946959	20.0057246039659	46.5796973998712	20.3792321384493	MAX_ D3	AMEX60DD004645	lAxmF
AMEX60DD004713	0.934093015253991	0	0.924276638237938	4.67465191941791	0	MAX_ D3	AMEX60DD004713	lAxmF
AMEX60DD004715	0.9800737638229	0	0	5.32583969487658	0.318371818804449	MAX_ D3	AMEX60DD004715	lAxmF
AMEX60DD004770	0.795120656676123	1.70870359135911	0	5.01388955300415	1.37302360599471	MAX_ D3	AMEX60DD004770	lAxmF
AMEX60DD004833	0.648499101917412	4.71093111799648	8.78402613913629	1.36395055951283	3.18789755255268	MAX_ D2	AMEX60DD004833	lAxmF
AMEX60DD004891	0.603843291631959	10.1195900355745	7.34509695604545	26.4438964663548	13.9630939499892	MAX_ D3	AMEX60DD004891	lAxmF
AMEX60DD004955	0.53471030178759	3.10588693240381	1.58082248898046	0.900035303705701	1.85455378769395	MAX_ D1	AMEX60DD004955	lAxmF
AMEX60DD005049	0.710827944819195	0.621680657294508	0.932210343287191	2.69415867826661	4.89679598787905	MAX_ D4	AMEX60DD005049	lAxmF
AMEX60DD005403	0.887523372816621	1.63478471939417	1.67725876437	11.5125873249868	0.572647493641738	MAX_ D3	AMEX60DD005403	lAxmF
AMEX60DD005413	0.576853998982789	0.89137370682567	4.34410019971831	3.79921605990977	0.823976115851167	MAX_ D2	AMEX60DD005413	lAxmF
AMEX60DD005427	0.650103182940482	3.84536327407144	1.02334515894424	1.46768342247578	1.54541252868547	MAX_ D1	AMEX60DD005427	lAxmF
AMEX60DD005478	0.941413422162149	0	0	0.615248013577927	3.5005060674519	MAX_ D4	AMEX60DD005478	lAxmF
AMEX60DD005499	0.788541793326852	3.14894767716566	7.08277206475811	1.3441831600996	0	MAX_ D2	AMEX60DD005499	lAxmF
AMEX60DD005521	0.511678999144092	2.28948726068237	0.743852773924368	3.11074851292573	1.52379144712202	MAX_ D3	AMEX60DD005521	lAxmF
AMEX60DD005572	1	0	0	5.03289263294265	0	MAX_ D3	AMEX60DD005572	lAxmF
AMEX60DD005608	0.814726166851595	1.26137788701746	0	0.583324767590393	3.31887603565015	MAX_ D4	AMEX60DD005608	lAxmF
AMEX60DD005619	0.914269155467698	1.3588178008462	0	8.09630433433949	0.723491223674195	MAX_ D3	AMEX60DD005619	lAxmF
AMEX60DD005632	0.510015250884542	6.87247671808623	16.817710746941	6.26009592329303	11.5886927017294	MAX_ D2	AMEX60DD005632	lAxmF
AMEX60DD005648	0.868674160627722	0.906481735754919	0	0.419202883827672	3.36487377736478	MAX_ D4	AMEX60DD005648	lAxmF
AMEX60DD005649	0.510165113391182	6.20046926103818	4.54403786581413	1.03485230735702	3.53272829903514	MAX_ D1	AMEX60DD005649	lAxmF
AMEX60DD005671	0.741502749005369	4.30115294868965	0	1.12764301576745	2.20786562426372	MAX_ D1	AMEX60DD005671	lAxmF
AMEX60DD005747	0.709206029309215	1.76648284328805	0.882947195064697	1.005405290481	4.18949003671068	MAX_ D4	AMEX60DD005747	lAxmF
AMEX60DD005773	0.898831918800647	0	0.829026755671433	6.46187893442543	1.13218092254359	MAX_ D3	AMEX60DD005773	lAxmF
