data$Gene	MmFC1	MmFC2	MmFC3	MmFC4	MmFC5
SHOX2	39.85521101	13.21433414	6.594982696	11.42764764	47.49689178
GM26457	0	0	0	0	0
GM25659	0	0	0	0	0
GM27702	0	0	0	0	0
GM22889	0	0	0	0	0
GM23212	0	0	0	0	0
GM23763	0	0	0	0	0
MIR187	0	0	0	0	0
GM22836	0	0	0	0	0
GM22489	0	0	0	0	0
GM22555	0	0	0	0	0
MIR143	0	0	0	0	0
SNORD37	10.1158870691373	11.4950631277098	8.324795877991	9.01054066168729	8.99362409014321
MIR130A	0	0.211346796796533	0.846872389075895	0.281839633082507	0
MIR15B	0	0	0	0	0
MIR375	0	0	0	0	0
MIR142	0	0	0	0	0
GM26202	20.3706447724394	17.9137528882699	10.2279807169891	15.8017826365473	16.1804519527594
MIR155	0	0	0	0	0
MIR106A	0	0	0	0	0
MIR99A	2.61071580559284	0.819678638844242	0	0.923861238619709	1.79434432701861
MIR146	0	0	0	0	0
SNORD98	10.9106478340539	12.9077082436271	19.3691795566374	8.13386327810175	16.050518418201
MIR129B	0	0	0	0	0
SNORD58B	8.53726464401011	9.10052255582031	7.67247306879306	5.31597585722533	5.10885388457032
MIR193A	0	0	0	0	0
MIR144	0	0	0	0	0
MIR122	0	0	0	0	0
SNORD78	0	0	0	0	0
GM24431	0.448394828499469	0	0	0	0.176715729176075
GM25296	0	0	0	0	0
MIR194-1	0	0	0	0	0
MIR190A	0	0	0	0	0
GM22200	6.77064179057272	9.11672371362943	4.23211828072826	5.3560674104821	13.2937489702989
SNORD95	0	0	0	0	0
SNORD73A	16.0912191624359	11.8543224201317	9.95339699821728	10.989544989612	10.9193368122399
MIR133A-1	0	0	0.855621680577606	0.265260831136477	0
MIR124A-3	0	0	0	0	0
MIR302C	0	0	0	0	0
MIR10B	0	0	0	0	0
MIR204	0	0	0	0	0
MIR205	0	0	0	0	0
GM23531	0	0	0	0	0
GM24016	0	0	0	0	0
GM24297	0	0	0	0	0
SNORD42B	5.7280143842558	4.68445307935787	3.26622681926835	4.37610387061862	2.72087980272349
GM22680	0	0	0	0	0
GM23389	0	0	0	0	0
SNORD2	0	0	0	0	0
SNORD82	0.211386133435464	0.333554923367952	0	0.60018919990001	0.166617687508871
GM23650	0	0	0	0	0
MIR140	1.50364220663971	3.1349706978082	2.08371954564418	0.829903354061278	5.71550373204416
MIR200B	0	0	0	0	0
MIR145A	0	0	0	0.257681950246863	0
MIR183	0	0	0	0	0
GM22354	0	0	0	0	0
GM26109	4.14724420279902	3.02915511625964	7.55342242391119	2.70971698508699	2.74341293523737
SCARNA9	0.899933581391804	1.12703661521787	0.51618888477007	1.00833927298246	1.60477403110735
GM22615	0.430752024401415	1.61628064718734	0.277058448948939	0	0.666470750035483
GM23713	2.08811236139702	2.63393140219534	2.99773417657902	3.26757380071219	1.76861330513673
GM22455	18.8311849568122	19.3074647057064	22.5763295592188	16.2513569958114	19.6051008582492
SNORD45B	0	0	0	0	0
SNORD61	0.625226591851372	0.53963349408896	3.42703737148577	0.508105254007899	0.859249743713714
GM24134	0	0	0	0	0
MIR30A	0	0	0	0	0
MIR138-2	0	0	0	0	0
MIR29B-1	0	0	0	0	0
SNORD38A	0	0	0	0	0
GM25091	0	0	0	0	0
GM24299	36.3847929475949	42.3352169128672	34.3571993417456	33.3753256763521	42.9553030858362
SNORD123	10.8158846477492	10.6146546690016	12.2696356347933	7.29846223659232	5.91887594676831
SNORD93	2.62533567134497	0.421553054776325	1.126733949052	1.0162105080158	0.202165905650562
GM50451	1.73339587652889	1.6456787416523	1.3913628963362	0	1.08470679033145
SNORD49B	15.0184492175404	12.803431441132	17.1227128774889	15.1710040021257	18.9130412589066
SNORD57	0	0	0	0	0
MIR9-2	0	0	0	0	0
MIR202	0	0	0	0	0
MIR216A	0	0	0	0	0
SNORD49A	29.9070674092873	26.6343203992834	23.4993647291282	27.2740039213825	26.5314180992943
SNORD65	25.5109675986207	24.5494085602226	23.1798603836065	14.4793938330389	35.316885538707
GM50449	0	0	0	0	0
SNORD50B	0	0	0	0	0
SNORD50A	0	0	0	0	0
GM23017	0	0	0	0	0
GM26135	0	0	0	0	0
GM24463	0	0	0	0	0
MIR1A-2	0	0	0	0	0
MIR27B	0.405398064122808	0.555871027190882	0	0	0.159770385282479
MIR126A	0	0	0	0	0
MIR206	0	0	0	0	0
MIR137	0	0	0	0	0
SNORD59A	8.80203628089071	8.93185595174543	6.70177932388233	5.65050860326032	9.37531471254718
GM24357	52.1022135427985	48.7559496756751	61.729152744246	35.7897392479405	44.565294543541
SNORD1A	0	0	0	0	0
GM23969	8.31431520930031	7.25279809545202	4.40818839079846	5.77064104512127	7.0316263315705
MIR23B	0	0	0.262082316573321	0	0.315222652043809
GM23130	55.6229170153937	40.6857425629769	49.1638652083296	41.4429093028798	53.6498780262323
SNORD100	56.003248338261	39.0448724411421	36.6853375550532	28.9093409206502	40.054656290483
SNORD99	0	0	0	0	0
GM22621	0	0	0	0	0
GM24072	0	0	0	0	0
GM23552	0	0	0	0	0
GM24712	0	0	0	0	0
GM23977	0	0	0	0	0
MIR363	0	0	0	1.30707870200447	0.574151172047597
MIR182	0	0	0	0	0
SNORD66	1.61558866479374	3.71109149522686	4.07157014549611	2.18992103681356	2.08136139414487
SNORD1B	0	0	0	0	0
GM24051	0	0	0	0	0
GM24676	0	0	0	0	0
GM25789	0	0	0	0	0
GM25128	1.49847025441577	3.06544926107305	2.31106693493878	2.84511071796584	3.78303390811144
MIR203	0	0	0	0	0
GM24253	0	0	0	0	0
SNORD1C	0	0	0	0	0
GM24339	3.41740195376749	4.23883782255743	4.3001496985307	2.10219619107801	3.93649756765909
SNORD19	12.9653542570787	19.0510887787733	14.7289669125844	13.1771097162674	12.6278095162482
GM22193	0	0.355952499867846	0	0.560196312896119	0.56659655136276
GM22858	5.51002177078149	1.73910098144903	7.11937310386572	3.68847308011314	3.81408990138052
GM25802	0	0	0	0	0
SNORD47	0	0	0	0	0
MIR34C	0	0	0	0	0
MIR1A-1	0	0	0	0	0
GM26311	0	0	0	0	0
GM23852	0	0	0	0	0
GM27265	0	0.351329740129302	0	0	0.151470625008064
SNORD80	0	0	0	0	0
GM25108	6.34881207285847	11.1613158927559	10.0733267913943	7.68177267877421	14.4626024060084
SNORD53	4.23081166291907	6.95737450413163	12.101274384441	5.36560190060179	12.6320229774626
GM23090	1.11512497353669	1.17427037955374	1.4237772656495	0.97603809360987	0.149528693918217
GM23299	0	0	0	0	0
MIR222	0	0	0	0	0
MIR147	0	0	0	0	0
MIR499	0	0	0	0	0
MIR193B	0	0	0	0	0
GM24916	7.12398375994476	6.83144181571066	7.11897929049292	10.1175270032655	5.02898752863253
SNORD55	8.96427583561614	7.74551995917089	7.73996919132459	7.35126561596792	13.1330556249586
GM26224	0	0	0	0	0
GM24148	0	0	0	0	0
MIR181B-1	0	0	0	0	0
SNORD45C	0	0	0	0	0
SNORD69	16.7517427725482	13.4331890202427	18.9365095980398	12.4777418909328	17.2039791290504
GM23663	0	0	1.12916318543453	0	0
MIR100	0.369925733512062	0.561192504170983	0	0.338207559699008	0
MIR29B-2	0	0	0	0	0
GM24494	20.8678526449789	14.8686327497276	12.7792937310386	10.6368187273663	23.8065507987455
SNORD72	25.725020106789	20.0311086379601	22.1769006832797	19.9300553022472	19.7151728104873
GM24837	5.08964241203968	4.24767383580914	3.71477149982123	1.71929690261792	2.56958196808009
GM26287	7.32444115405247	8.47356041369191	8.25536518347822	4.0002743881841	4.04327253026924
MIR19A	0	0	0	0	0
MIR30D	0	0	0	0	0
MIR130B	0	0	0	0.170785544686995	0.14223461128806
MIR455	0	0	0	0	0
GM22357	0	0	0	0	0
MIR429	0	0	0	0	0
MIR18B	0	0	0	0	0
GM23012	0	0	0	0	0
GM26363	0	0	0	0	0
GM24091	2.40782131411607	1.53604227413408	3.50074153052349	2.41284643584432	2.31372175260983
GM23711	11.3170756678483	15.1885871045338	11.0671892818719	9.76675372106361	13.1761210593069
GM50452	0	0	0	0	0
MIR34B	0	0	0	0	0
MIR17	0	0	0	0	0
MIR30C-2	0	0	0	0	0
MIR490	0	0	0	0	0
GM26293	0	0	0	0	0
GM25819	0	0	0	0	0
GM25887	0	0	0	0	0
SNORD11	0.70462044478488	0.734081222810391	1.10700018754415	0.214734958539053	2.36937673477238
GM22076	0	0	0	0	0
MIR15A	0.429659039258208	0.83388730841988	0	0.107367479269526	0.138848072924059
GM24920	3.04749748745369	1.30691102187045	2.22493906440744	1.01359247921712	0.411643698551328
MIRLET7I	0.174082698123323	0.176060393465406	1.14082890743681	0	0
MIR196B	0	0	0	0	0
MIRLET7B	0.348165396246647	0	0.228165781487362	0	0
MIR425	0	0	0	0	0
SNORD71	5.37777855478598	5.35219551881218	2.62729559740961	2.41472706565614	2.53371037315127
SNORD92	0	0.653455510935223	0.456331562974723	0	0
GM25632	4.66173306721736	4.23649767184033	7.65646473123509	3.70453560921539	2.65978274487754
GM22192	1.05763931879015	0.863373279684898	1.79409141755835	1.34846203068505	1.05546224007122
GM27747	0	0	0	0	0
MIR103-1	0	0	0	0	0
MIR103-2	0	0.967550911790637	0	0	1.46543476865659
MIR216B	0	0	0	0	0
GM25970	1.40244845153949	2.61151665872506	5.43308389912272	2.46676507083673	9.25364687450556
SNORD14D	0	0	0	0	0
SNORD14C	0	0	0	0	0
GM23613	0	0.310947011378808	0.883383004775596	0	0.134060208340471
MIR181A-1	0	0	0	0	0
MIR19B-1	0	0	0	0	0
SNORD70	5.06977359467157	3.72360877531264	6.22484119473636	3.18221043704317	3.97658119986355
SNORD87	19.3334888450094	15.3328155686715	16.168506962377	18.1733559612161	21.5655695819963
MIR29C	0	0	0	0	0
MIR29A	0	0	0	0	0
GM25119	0	0	0	0	0
GM22416	0	0	0	0	0
GM27619	0	0.461120283919709	0.44077480514604	0.176344488683914	0
MIR30C-1	0	0	0	0	0
MIR181B-2	0.166258756634635	0.4721070048822	0.202995628842162	0	0
SNORD111	0	0.840737833964019	1.0733299837267	0.523089269803969	0.131047619388999
MIR9-1	0	0	0	0	0
MIR200A	0	0	0	0	0
MIR135A-1	0	0	0	0	0
MIR26A-1	0	0.150291055499757	0	0	0
SNORD35A	8.64702604380461	9.22174524134137	12.2318715767283	8.63124209957929	9.54608093876139
GM23758	0	0	0	0	0
MIR449A	0	0	0	0	0
GM25859	0	0	0	0	0
GM22771	2.82566295669828	2.2628764159516	4.42001769146547	3.11246070733337	4.10436764923136
GM26247	0	0	0	0	0
GM22963	0	0	0	0	0
GM23198	0	0	0	0	0
MIR30E	0	0	0	0	0.253548654904803
MIR21A	0	0	0	0	0
GM25878	0	0	0	0	0
GM23991	0	0	0	0	0
GM22279	0	0	0	0	0
GM22077	0	0	0	0	0
SNORD21	0	0	0	0	0
MIRLET7A-1	0	0.431687074307813	0	0	0
MIRLET7C-1	1.53580252330594	0	0	0	0
GM25370	0	0	0	0	0
MIR221	0	0.157527720469048	0	0	0
MIR22	0	0	0	0	0
MIR16-2	0	0	0	0	0
MIRLET7C-2	0	0.142380999947138	0.408296661608963	0.284806366062323	0
GM27326	7.72114611775212	9.7741254420719	8.5766122557767	7.00000942409925	4.50663164103325
MIR18	0	0	0	0	0
MIR30B	0	0	0	0	0
GM23404	0	0	0	0	0
MIR219A-2	0	0	0	0	0
MIR7-2	0	0	0	0	0
SNORD7	12.436131204721	11.4580019809453	13.5847366648529	9.82779522683391	12.6091374661316
MIR301B	0	0.240709738512955	0	0	0
GM24958	0	0	0	0	0
GM23362	0	0	0	0	0
GM23588	0	0	0	0	0
SNORD16A	5.40178664817258	7.50649611546524	6.07871699970747	4.14936925945646	6.38731560632942
GM23136	4.83905997975345	6.44568483140828	4.36925335324345	1.92784683990704	7.13138701606402
GM23455	48.032221214255	40.8460692225054	49.323075498526	44.1928987002988	50.4268881217319
MIR135A-2	0	0	0	0	0
GM25895	0	0	0	0	0
GM23641	0	0	0	0	0
GM25371	0.293010481989752	0.133922722722556	0	0	0.115477605204168
MIR34A	0	0	0	0	0
GM22974	0	0	0	0	0
MIRLET7D	0	0	0	0	0
MIR133A-2	0	0	0	0	0
GM22534	0	0	0	0	0
GM22157	0	0	0	0	0
GM26065	0	0	0	0	0
GM24817	0	0	0	0	0
GM22687	0	0	0	0	0
GM24460	0	0	0	0	0
MIR31	0	0	0	0	0
MIR96	0	0	0	0	0
GM26479	0	0	0	0	0
GM22164	0	0	0	0	0
GM25814	0	0	0	0	0
GM26496	0	0	0	0	0
GM24458	0	0.126413037336244	0	0	0
GM25755	0	0	0	0	0
MIR20A	0	0	0	0	0
GM24445	0.691449969181424	0.344626538604998	0	0	0.779739575995986
GM22798	0	0	0	0	0
MIR489	0	0	0	0	0
GM23516	0	0	0	0	0
GM23203	0	0	0	0	0
GM25889	1.10513603456289	0.218213501268754	0	0.0842884883985067	0
GM24634	0	0	0	0	0
GM26427	0	0	0	0	0
RNU6-PS2	0	0	0	0	0
GM24486	0	0	0	0.25286546519552	0.109002225473093
GM22822	0	0	0	0	0
GM26178	0	0	0	0	0
GM23573	0	0	0	0	0
GM25256	0	0	0	0	0
GM23217	0	0.218213501268754	0	0	0
GM24753	0	0	0	0	0
GM22092	0	0	0	0	0
GM22360	0	0	0	0	0
GM23512	0	0	0	0	0
GM24722	0	0.597452613277486	0	0	0
GM22170	0	0	0	0	0
GM22459	0	0	0	0	0
MIR7-1	16.1524097495229	14.2433964615618	19.2143888789023	16.2050506265632	16.5154067158194
GM24991	0.476360848752834	0.821437154685454	0.681425225252621	0.287376203781193	1.09649860192994
GM25641	0	0	0	0	0
GM27611	0	0	0	0	0
GM24610	0	0	0	0	0.599549944843226
GM22293	0	0	0	0	0
GM24412	0	1.42346026364798	0.680728077949819	0.725146253030349	1.11112284572479
MIR146B	0	0	0	0	0
GM25582	0	0	0	0	0
MIR214	0	0	0	0	0
MIR10A	0	0	0	0	0
MIR218-2	0	0	0.176309922058416	0	0
MIR218-1	0	0.33522763300668	0	0	0
MIR199A-2	0	0	0	0	0
MIR223	0	0	0	0	0
SNORD89	7.91257465585812	7.10037962248992	7.43015015542503	5.9202467229931	6.69984638609166
MIR199B	0	0	0	0	0.106029437505645
SNORD67	0	0.210349951673483	0	0	0.105074217347936
SNORD90	0	0.210349951673483	0	0	0
GM25555	2.88702464778406	2.35137976859735	2.46686861735108	2.09286851672696	0.654684413777429
MIR215	0	0	0	0	0
GM24615	0	0	0	0	0
GM25379	0	0	0	0	0
GM26147	1.10806804861327	0.262546200781746	1.16757613215819	0.158225758923513	0.102309106365096
GM25136	0	0	0	0	0
GM24438	0	0	0	0	0
GM26047	0	0	0	0	0
GM24172	0	0	0	0	0
GM25966	5.34886510676672	5.10378924607207	3.38922622357415	2.43040406787645	2.78827096355386
GM22816	0	0.199562774664587	0	0	0
GM22539	0	0	0	0	0
GM22088	0	0	0	0	0
GM24894	0	0	0.164356707003608	0.0764310869376289	0.0988410010645843
GM22842	0	0	0	0	0
GM25520	0.76185883133189	0.541757878141449	1.35590017597783	0.764310869376289	0.927535186935436
GM25488	0	0	0	0	0
MIR133B	0	0	0	0	0
GM25876	0	0	0	0	0
GM22213	0	0	0	0	0
GM26158	1.95069995826745	1.82895512528352	1.41100353395349	0.227366426688409	0.196020808833966
GM23593	0	0	0	0	0.136147799974816
GM24061	0	0	0.161617428553548	0	0
GM22140	0	0	0	0	0
GM24083	0	0	0	0	0
GM26075	0	0	0	0	0
GM22772	0	0	0	0	0
GM24988	0	0	0	0	0
GM25215	0	0	0	0	0
GM23786	0	0	0	0	0
GM24559	0	0	0	0	0
SNORA26	0	0	0	0	0
GM23406	0	0	0	0	0
GM22303	0	0	0	0.459161136535527	0.0956003125050897
GM24355	0	0	0	0	0
GM22358	0	0	0	0	0
GM23451	0	0	0	0	0
GM25188	0.295830813915488	0.535789902215348	0.163930554062893	0.74661975834959	0
GM22786	0.12128712574166	0	0	0	1.56867486960966
GM23482	0	1.46993181826576	0.476903887535059	0.795726869652364	0.0956003125050897
GM24233	0.12128712574166	0.665222704671056	0.967739745453419	0	0.235307857396556
GM25539	0	0	0	0	0
GM22813	0	0	0	0	0
GM25825	0	0	0	0	0
GM23172	4.72946271543924	3.05087631401938	5.48366761972572	3.34270051253193	3.78357755301187
GM24500	0	0	0	0	0
GM24201	0	0	0	0	0
AF357399	8.57244194383344	4.57714528195682	9.27147286451076	9.08453371296976	8.23707407830866
GM22710	0	0	0	0	0
GM24728	0	0	0	0	0
GM22300	0	0	0	0	0
GM23377	0	0	0	0	0
GM25612	0.970526316776179	1.47838456007967	1.84613086504865	1.18303980080933	1.37608672291056
GM25777	11.6321472766256	5.19754143406201	4.92913068473402	6.05772773018949	5.55908271738177
GM24945	0	0	0	0	0
GM25011	0	0	0	0	0
GM26413	0	0	0	0	0
SNORA28	17.5750077023763	23.7523439873064	23.5856592655262	22.6162063445107	21.7631779526065
SNORA43	0	0	0	0	0
GM23297	2.06964188794536	0.893724376309977	1.48436523075107	1.95930898845766	1.462651572379
GM24338	0.725462001619681	0.471342785655419	0	0	0
GM22027	5.69811088509388	7.66003186878712	8.00556186523021	3.78408638664339	6.02906032340521
MIR1839	0	0	0	0	0
GM25820	0	0	0	0	0
GM22897	0	0	0	0	0
SNORA20	2.58944946803919	2.38983245818738	0.888356153434436	0.801348466170996	0.770992088719574
GM24165	0	0	0	0	0
GM26458	0	0	0	0	0
GM23443	0	0	0	0	0
SNORA35	0	0	0	0	0
GM22480	0	0	0	0	0
GM25058	0	0	0	0	0
GM26090	0	0	0	0	0
GM24944	2.98085789562485	0.810002704301474	2.20396747053392	0.978166701775149	2.8404505671962
GM22765	0	0	0	0	0
SNORA78	1.53337080168915	1.40102876428456	0.771771606561487	1.84253582189844	2.67523157804082
GM27855	0	0.211346796796533	0.292661737448267	0.363710507910572	0
GM26440	0.11470565380219	0	0	0.120297015536313	0
SNORA44	0	0	0	0	0
GM22304	0	0.18099879562602	0	0	0
GM22807	0	0	0	0	0
GM25857	0	0.18099879562602	0	0	0
GM26326	0	0	0	0	0
GM22341	0	0	0	0	0
SNORA33	23.6320064189021	28.1605705083865	23.4360915997734	22.1429657778729	26.9904495094879
GM25877	0	0	0	0	0
GM23202	3.80144023370262	2.72650070476923	4.55826440442307	2.51876863081519	3.04900853775499
GM23836	0	0	0	0	0
GM22276	0	0	0	0	0
GM25107	3.01244724251038	2.29874591452705	0.585479387255842	1.73142690603502	2.33711672499998
GM25492	3.57202892609824	2.77675229217103	2.80413741615305	3.23358229044976	3.69471658339852
GM22338	0	0	0	0	0
GM22728	2.58414579744567	2.11493044844946	1.62198415652158	3.7529177372867	3.4919815898298
GM22729	0	0	0	0.240594031072626	0
GM22520	0	0	0	0	0
GM23877	0	0	0	0	0
GM22622	0	0	0	0	0
GM22723	0	0	0	0	0
GM27931	0	0	0	0	0
GM23370	0	0	0	0	0
GM24625	0	0	0	0	0
GM24620	0.750106221293506	1.14924165337926	1.70763573323341	2.53243043409861	3.28164903235476
GM23514	0	0	0	0	0
GM25038	0	0	0	0	0
GM23722	0.227646605238192	1.13182160026681	0.908186530348594	0.138751819363696	1.28542131778652
SNORA61	0	0	0	0	0
GM24918	0.113823302619096	0.589445816620249	0	0.138751819363696	0
SNORA65	0	0	0	0	0
SNORA31	10.6554804099278	11.9950507082799	8.67261882045666	5.89766957959231	13.1605449056163
GM24613	0	0.312142961422572	0	0.10772626664872	0.179434432701861
GM22830	0	0	0	0	0
GM24698	1.64938453938075	0.728333576652669	0	0.461930619309855	0.179434432701861
GM24888	3.8041993138568	5.12587851725128	6.98321433103272	2.18386302611876	4.31142742217424
GM25105	0	0.104047653807524	0	0	0
GM22986	0	0	0	0	0
GM23505	0	0	0	0	0
SNORA24	0	0	0	0	0
GM22247	0	0.178235455234783	0	0	0
GM25635	0	0	0	0	0
GM25788	2.75255371625828	1.19070868086005	1.0151684804966	1.3260918211127	0.554732594880112
GM22652	0	0	0	0	0
GM22972	0	0	0	0	0
GM23974	0	0	0	0	0
SNORA69	1.97139309247184	2.07367536190932	1.88780225002985	0.80651680129838	2.82519336202064
GM25409	0	0	0	0	0
GM26175	3.20013274619912	1.27667500216051	2.65114299795629	3.48826862666463	3.06487351299735
GM22154	0.586092075099869	0.802437287024199	0.88649871997402	0.592302099396351	0.860385350917377
SNORA68	21.0522013601381	16.2772932883666	19.6283884361122	16.7721282603853	18.7042764030091
GM22673	0	0	0	0	0
GM23184	0	0	0	0	0
GM23960	0	0	0	0	0
GM22387	0	0	0	0	0
SCARNA8	1.34247917429923	2.67857192717705	1.72411052349454	1.29999755053756	2.07185758067633
SNORA15	1.04217375745914	0.331728716672498	1.15308154131303	0.985655185337423	0.997373090612827
GM27761	0	0	0	0	0
SNORA41	10.3725119611381	11.5975736904566	12.5024968444336	8.26549458920523	14.1977081764303
GM23723	0.54683877723772	0.689241057656419	0.27373652980231	0.136649519070306	0.656768663207315
SNORA3	0	0	0	0	0
GM24252	0	0	0	0	0
GM24523	0	0	0	0	0
GM22270	14.8935354813121	15.5945179851214	14.8532958052124	10.2889370262762	18.3462206517411
GM22784	0	0.318314571473605	0	0	0
GM22661	5.56114229394728	5.38557770521281	4.16395965772638	3.5877453208449	3.65833784115828
GM26387	7.99688773227136	7.73380081498885	11.3535641316968	7.7787110332606	9.29406051613866
SNORA36B	0	0.340116669194535	0	0	0
GM24237	0	0	0	0	0
GM23639	2.50752876315397	2.88427440811199	3.36656665140441	4.43451680652639	3.44518048611166
GM23658	0	0.290257409699365	0	0.587814962279712	0.0883578645880375
SNORA19	0.232660793448736	0.22674444612969	0	0.223657042943318	0
GM23626	0	0	0	0	0
SNORA9	0	0	0	0	0
GM25636	0	0.452811159898432	0.601489551749562	0	0
GM22620	12.1158423363523	14.5185744494696	14.1583359442281	9.89605066314414	10.9765884338283
GM23939	0	0	0	0	0
SNORA75	0	0	0	0	0
GM23454	0	0	0	0	0
GM24451	2.0488040708809	1.85526510032197	0.825016137302165	1.20379069674491	1.96182535228145
GM22743	0	0	0	0	0
GM22579	27.8838611086075	24.6321382045627	20.7370384536484	19.0120317633966	23.687354255862
GM24350	0	0	0	0	0
GM25394	0	0	0.902234327624344	0.135622079077296	0
GM24539	0.230911464174685	0.351110445650476	0.40751754060795	0.0678110395386482	0.631600920058621
GM25617	0	0.351110445650476	0.145820236288915	0	0.0876935197415109
GM23513	0	0	0	0	0
GM24095	0.564679043283313	0.667031674481422	1.27613330111434	0.301169159902323	0.195616672382037
GM25989	0	0	0.13583918020265	0	0
GM25053	0.77879101792013	0.37895665132115	0.145820236288915	0.271244158154593	0.75546206848368
GM26265	0	0	0	0	0
GM23128	0	0	0	0	0
GM25800	0	0	0	0	0
GM26397	5.72661125653436	5.68822483318934	6.80273946396056	5.83187552524367	4.1776871032901
GM22843	0	0	0	0.239120531206074	0
GM24900	0	0	0	0	0
GM26225	0	0	0	0	0
GM24208	0	0	0.669133739516757	0.344851444537431	0
SNORD118	0.22749055359432	0.300582110999514	0	0.563933120752369	0
GM23245	1.42226055941161	1.34627585748742	0.84142947791577	1.88726851594466	1.74671724333309
GM24896	0	0	0	0	0
GM24289	0.949053227029235	1.93408979105805	1.74547903586938	0.949397072047822	1.37074196453594
GM24240	0	0	0	0	0
GM22711	2.78474184590704	2.60116522570309	2.30942182938975	1.30922836478123	3.88554639982889
GM50450	3.1269040823244	2.02043580011453	1.11514057412687	1.18175834613732	2.48306214645484
GM26493	2.59947539107335	3.88133110224609	4.96029366080056	2.57811579171122	3.77089525969714
SNORA16A	0	0	0	0	0
GM24608	3.57944680224089	2.71663701309134	2.52970099738295	4.25838770029841	2.41089245400346
GM24718	0	0	0	0	0
GM23751	2.24174937679261	0.957870721865892	0.840551645653346	0.198945623352358	1.26970840152169
GM22331	0	0	0	0	0
GM26173	0	0	0	0	0
GM22840	0	0	0	0	0
SNORA52	0	0	0	0	0
GM26495	0	0	0	0	0
GM25791	15.6107224197075	16.9974553792026	15.344256560159	12.0250762661123	12.8871293544474
GM23456	0	0	0	0	0
GM25410	0	0	0	0.113272372293317	0
GM22486	6.33337687795205	2.24671394937482	6.15327143399715	2.71798386248171	4.64636978443282
GM24729	0	0	0	0	0
GM24682	0.719183408525414	0.306697251346831	0	0.226544744586634	0.34053250001813
GM26236	0.432030053736715	0.170429522888735	0	0	0
GM27444	0	0	0	0	0
GM22149	0	0	0	0	0
GM23604	0	0	0	0	0
GM26130	0	0	0	0	0
SNORA34	14.2181285769398	13.5622220976191	15.1410969909561	12.10023566531	16.9879998488023
GM22266	0	0	0	0	0
SNORA47	1.8024112498648	3.2187632864108	3.27584624288772	2.30646839904845	5.66275255004556
GM23557	0	0	0.434772339036368	0	0
GM26379	0	0	0	0	0
GM22504	0	0	0	0	0
GM24616	20.5017209130666	21.0103586077476	21.1658045586301	20.7882240249034	22.6277135074725
SCARNA3B	0.10645344849268	0	0.259951236934567	0	0
GM26215	0	0.459909565616482	0	0	0
GM25588	0	0.873921606781056	0	0	0
GM22884	1.51960172170068	0.949981021751165	1.30943621848908	1.68013125453879	1.70452261263636
SCARNA3A	2.05132230652286	1.14759287878331	1.57701266415607	1.78501640348452	1.38415971509498
GM22156	0	0	0	0	0
GM24407	1.06528103200965	0.62660895189912	1.10301383928153	0.319818023356036	0.267235854981786
GM26048	0	0	0	0	0
GM22433	0	0	0	0	0
GM25403	0	0	0	0	0
VAULTRC5	0	0	0	0	0
GM27953	0	0	0.139856836333377	0	0.571249510383843
GM26039	0	0	0	0	0
SNORD15B	0	0	0	0	0
GM24336	0.522051224732526	0.979930905426253	0.402655551017291	1.33449905741948	0.952450575918536
GM24056	0	0	0.136983065723787	0.185319210793977	0
SNORA62	4.29314728399742	2.42888987278028	3.25384562579354	4.54926106657061	4.39382459205703
GM24547	0	0	0	0	0
GM27717	0	0	0	0	0
GM27533	0	0	0	0	0
GM26442	0	0	0	0	0
GM27295	0	0	0	0	0
GM22811	0	0	0	0	0
GM22940	0.778132689241266	1.54551978125751	1.02442160275412	1.50169992195355	0.798728589416589
GM24044	5.81367708462968	6.8462930436976	5.95572556479257	4.26893025539856	4.39406309132784
GM27457	2.409234743144	4.55309607111248	1.56899834587142	2.03138826365256	2.00738010032448
GM23897	0	0	0	0	0
GM25162	0	0	0	0	0
GM22739	0	0	0	0	0
GM22082	0	0	0	0	0
GM22155	0	0	0	0	0
GM27976	0	0	0	0	0
GM27608	0	0	0	0	0
GM25189	0	0.164953597499733	0	0	0
GM25818	0	0	0	0	0
GM23686	0	0.164953597499733	0	0	0
GM22767	0.896789656998938	0.914183959932639	1.76535509893137	1.49011499778719	1.41710831002533
RNU1B2	0	0	0	0	0
GM22614	0	0	0	0	0
GM25890	0	0	0	0	0
GM24136	0	0	0	0	0
RNU1B1	0	0	0	0	0
RNU1B6	0	0	0	0	0
GM25938	0	0	0	0	0
GM24720	0	0	0	0	0
GM24830	0	0	0	0	0
GM26232	0	0	0	0	0
GM27421	0	0	0	0	0
GM25962	0	0	0	0	0
GM23262	4.06850078406235	3.93003037473861	2.66356490458833	1.9603201597249	4.66817176079961
GM27617	0	0	0	0	0
GM27348	0	0	0	0	0
GM27401	0	0	0	0	0
GM27820	0	0	0	0	0
SNORA81	0	0	0	0	0
GM22519	0	0	0	0	0
SNORA23	3.40833392434755	3.28131676679127	5.27072982385442	3.52340180483987	3.70768889080664
GM27373	0.0804186377200135	0.126895894759547	0	0.337354674004009	0
GM27492	0	0	0	0	0
GM25804	0	0	0	0	0
GM26083	0	0	0	0	0
GM27999	0	0	0	0	0
GM27427	0	0	0	0	0
GM24346	0.536792723765523	1.57176254724323	0.978566313220921	0.751353071430905	1.40802473049113
GM24533	0	0	0	0	0
GM23946	0.453506391218421	0.255843830587375	0.587017788164103	0.620461085116833	0.973140201926381
GM22053	0	0	0	0	0
