data$Gene	MmFC1	MmFC2	MmFC3	MmFC4	MmFC5
SMIM12	19.2975956648938	17.4781745032366	18.2402987411692	19.5308417667973	17.9783472853299
OLFR559	0	0	0	0	0
GM21425	0	0	0	0	0
VGLL4	190.864509983298	176.029185587411	165.192838480602	180.768982000201	172.773345280179
NRTN	6.09312946446519	12.5727094929301	12.402120175576	14.1577673882317	12.0192725944906
OLFR556	0	0	0	0	0
TDPOZ5	0	0	0	0	0
TDPOZ7	0	0	0	0	0
PNO1	57.2579811449936	55.6450860715148	57.2109425524015	59.6948994404429	66.9691033566253
GIPC3	0	0	0	0.0606184179850953	0.0113898809820517
FAM124A	2.2429380580998	1.94484386278165	2.28501205403696	2.00207778501519	1.88267801727992
CREM	16.8208200981674	17.8049149277582	18.1420470041184	17.7934887699489	14.8337590979313
RB1CC1	127.788916671448	159.60133561522	154.844227009318	135.031118535903	131.84850524951
STX5A	195.196788113117	194.697178362068	193.234363538674	176.985368060103	182.464863800948
MPC2	41.7089349718644	45.5790612662672	40.0847158533245	43.523585070707	48.0199150125028
TTC19	28.7682171418669	30.622725664533	32.2685665622835	29.2691597266757	28.3078947797966
GM21719	0	0	0	0	0
CDK15	0.831366246959889	0.369526638785029	0.765155095926208	0.474683354024129	0.383354874630014
PECR	16.1003781656645	13.8301843125227	14.508728736992	15.2583234708887	14.5646180148046
DUOXA1	2.95363112113527	1.96487233098335	1.26989594796489	1.6801271233348	1.24321898729687
KLF3	122.882518199342	125.131691634089	119.957852543696	113.423854992343	93.1084130092962
9430015G10RIK	127.441880558778	115.466692542164	108.360873706933	100.574605456367	116.916303203746
VSTM2B	7.32955788166594	5.76928065077624	5.70967053168853	5.83812704908875	4.70416936248202
PGP	21.143913803795	20.28956980049	20.1818875472557	24.3657803242165	24.3842498123716
VCPKMT	24.2652852719794	21.0993941886839	20.1694987322985	19.4015810486289	19.687371529315
TLCD4	2.35080295006708	3.9595788159281	5.17092976615916	3.63984738237201	4.66929864905909
TATDN3	15.3835495965035	15.947049555913	15.9837157625719	12.2346693977771	13.7019876602891
SEC14L3	0	0	0	0.456207343822268	0.0635709571866845
CTXN2	0	0	0	0	0
ZP3	0.0447903131772968	0	0.0364226566780536	0.0263068592862622	0.0558241295136215
FKBP8	240.789039778421	228.160259932448	216.699270954657	239.9293270884	229.595506377819
LAMB3	8.89164284251848	8.12561760580455	6.79636997073769	7.12420150464663	9.04710399416205
ERP27	0.0617628121715844	0.158931856101873	0.164467347910533	0.214054165615501	0.265371247888501
GM6525	0.143800090772425	0.32181599193402	0.283776127904666	0.170345214311092	0.460250352182431
P2RX4	12.954723197046	9.44989607806144	7.24175352046243	9.62973716855645	5.63167955481334
WNK1	609.199664254344	563.014217426015	541.52282831548	478.119143904719	486.355476469247
HOXC12	7.84669544513871	6.89544425655063	5.2023723255404	5.48863754705897	5.51873508837868
