data$Gene	bud_OF	bud_OH	eOFC2	eOFC3	eOFC4	eOHC1	eOHC2	eOHC3	eOHC4	eOHC5	lOFC2	lOFC3	lOFC4	lOHC1	lOHC2	lOHC3	lOHC4	lOHC5
PHLDA3	2.223554374	2.256818984	5.175525373	1.180319669	4.991343353	8.161520937	4.91494605	4.624143342	6.782945054	9.375207373	10.2615466	5.38180626	6.425401161	10.06048907	4.310194902	8.032215391	0.13529959	17.96144172
PHLDB2	14.34159061	9.481574169	20.23739831	19.19896098	15.67728022	24.94380994	23.17326934	27.48460817	29.00951995	19.87611549	24.11014922	28.71742611	23.27941279	21.64763406	32.14694657	24.42088482	34.84666133	25.17767112
PHLPP1	9.151461453	4.943201832	12.15654622	11.81166638	11.42213348	9.405948247	10.3055723	11.02906233	8.851149542	10.38286285	11.07850503	13.0390976	14.6820626	8.885083957	8.873100047	9.418454009	10.94096338	8.311744155
PHLPP2	9.152690435	4.770423311	13.31810687	14.06995621	12.52279614	12.92381595	13.88688594	18.13602027	16.60380319	18.17993857	12.74524634	15.87635701	18.00742526	6.65363271	10.93166208	12.60078346	12.97937906	10.74510757
PHOSPHO2	15.03039279	10.28367239	11.66520945	13.323908	11.02615899	10.95867584	9.87445491	12.10015711	11.55101093	9.375410975	9.807265298	12.24169528	14.67552911	8.138813883	8.362329228	7.475833278	10.0592595	11.2210643
PHPT1	136.5296873	179.612427	160.9580721	165.3170685	149.6311127	159.8947508	189.4714428	166.1921742	179.13134	172.6601862	158.0449546	151.2119351	160.1123763	179.6368202	181.5212093	183.6936969	198.3494011	152.1161445
PHRF1	30.99205625	23.26298164	22.51242026	24.7896441	20.72157269	23.95618243	25.0319266	27.61793892	24.28197799	22.87957672	24.18143531	27.38016311	28.17039264	15.17079813	23.01099855	24.43624439	23.12963258	20.111719
PHTF1	51.37553171	38.59848255	32.56533495	39.65646418	35.83652382	31.85785376	35.28678365	44.7443271	39.88815855	35.87472408	53.39359599	67.79142266	56.21897499	32.441405	50.94803232	50.75696272	54.75004003	41.74989493
PHTF2	11.27068035	8.329616685	9.378247365	10.21370546	9.181539869	10.51446724	13.40626735	12.86927194	14.52486673	11.52326928	15.04927984	18.20901344	18.07899754	10.05850792	15.79528196	15.75769185	15.68018368	11.26443577
PHYH	8.6413101	7.084316989	25.61901053	23.36761531	28.56245769	24.57152718	26.95012705	25.26464795	23.40057353	26.3921027	28.13421651	31.29491666	24.53757689	20.78802849	22.56704835	25.46287329	18.71065125	24.36445129
PHYHD1	14.95206245	10.63942004	4.176976931	1.565978832	4.356430557	4.569971497	4.087818665	5.260621249	4.15049962	6.342715376	5.029342554	8.512453795	3.30137689	4.206432235	6.451112519	4.321905429	3.640838381	3.560293052
PHYHIPL	0.320037105	0.133398133	2.607844248	6.326919838	4.425316185	4.353032949	12.55207752	12.8936991	12.40864888	1.514290301	12.30202842	14.93311337	9.610389758	6.773525163	11.83488703	11.99210453	18.1728147	2.773549904
PHYKPL	37.88659712	53.46372954	20.27956571	23.45827641	19.04980269	17.51493582	20.60821015	18.70657003	18.61518899	17.58727715	17.39381651	17.12270764	22.17040727	18.26222796	15.99262265	15.51330599	14.92928154	18.44143902
PI15	4.694082476	2.290663988	0.885085364	0.743021892	1.255345317	4.685426734	4.361599916	12.12211623	3.336701203	2.116325317	5.1430176	19.92083515	12.1488104	4.941154139	27.19304514	23.71916282	25.43112423	10.7075441
PI4K2B	32.03936887	20.57416564	17.8630101	18.16863615	15.07162142	17.33846775	23.63911864	25.35632041	22.22732435	18.05508166	22.63645996	29.63677095	25.48121076	16.86537677	25.60831516	21.59599575	20.99482146	27.78961133
PI4KA	11.10367386	7.415270302	13.3249981	12.27177446	11.08152596	11.4153798	12.89545028	13.61493494	11.93650032	12.58847814	14.98078912	18.02511834	16.12287193	12.23045799	17.06286922	14.61357534	17.45295123	14.55641778
PI4KB	38.03654541	38.47288631	42.78456049	37.95855106	40.78012785	45.10569549	40.71749733	44.85279043	37.0308459	45.99139138	50.52232267	53.83996966	54.00982848	47.81672603	55.12323348	54.82787489	50.80085927	48.66798463
PIANP	1.090419957	0.114962436	0.467943437	1.205160948	0.914380345	3.075609579	3.958520017	1.911300681	2.135002033	1.461907311	1.390878547	3.104053682	3.16545125	1.137347148	1.560737549	2.36326524	1.909106327	3.843034245
PIAS1	4.511297407	4.180309778	9.552226856	10.44286637	8.306089461	9.050066887	9.48046816	14.53327259	11.51057462	5.578701595	7.70910028	11.01353913	10.15552237	4.508899676	8.32329839	8.951210787	9.962003635	5.68047071
PIAS2	60.16417572	50.11416972	55.28254543	54.94400133	41.58912666	58.04059105	60.89862879	66.73503512	49.36375553	42.92876181	53.81466964	67.28861797	56.92446749	37.96035186	61.80541683	58.98944297	59.36039534	37.20110082
PIAS3	19.97443853	13.3602247	62.43024549	56.09506349	54.91734125	54.19189343	48.39797832	41.86727044	47.38728946	44.84751794	48.46537043	54.44072673	53.84312055	41.99403516	38.36458577	38.58622583	46.80779085	44.2067146
PIAS4	32.21873404	33.84205317	17.23374537	19.96496619	17.47110984	17.92448037	20.04675463	21.95537806	16.11771555	21.86028811	23.38426756	31.17525118	29.85197774	19.3528936	28.18319505	27.28461896	21.39339851	20.52727362
PIBF1	20.20805292	16.93024498	15.9765958	13.66807059	11.82156916	11.5337039	13.35031863	18.17884253	18.28816879	13.92433498	17.17991838	18.14536036	18.47039219	14.14614037	20.6099773	20.61950887	15.31083679	19.26102487
PICALM	26.71056264	21.97168818	23.23862326	26.7334771	20.92772296	29.66217106	35.22827411	40.65184928	36.4911995	25.14665751	40.16855606	46.66201335	37.74626937	30.30798889	49.01337798	50.61764028	50.34556219	33.32617464
PICK1	22.62010408	21.99076884	29.20653292	29.96247036	32.43213633	37.28153968	30.62968631	41.19627688	34.48823369	37.75425438	39.79369727	43.36154855	49.35950554	36.76386212	47.95681157	38.92314838	46.30235117	40.67936359
PID1	28.70497848	15.80126344	4.384682154	8.46222058	10.19192902	15.45311071	24.99213885	26.0153399	28.71610396	17.93722626	15.63217587	24.08924263	23.41369204	22.80163994	32.55793719	41.52044256	43.25402201	18.97140237
PIDD1	9.154809846	5.914219043	12.67619143	11.52942741	12.95688725	13.10112486	12.68199418	13.04945163	12.29773698	12.07589602	14.30684532	18.70818276	18.31714732	12.91022847	14.32729849	12.38913132	13.79641698	15.95959869
