data$Gene	bud_EF	bud_EH	eEFC2	eEFC3	eEFC4	eEHC2	eEHC3	eEHC4	lEFC2	lEFC3	lEFC4	lEHC2	lEHC3	lEHC4
1-Mar	15.1057102478913	21.3686817136732	24.9299162890194	25.2176047658298	21.0262052978966	28.4662187062822	24.5176555284166	25.5277425364935	25.5332234539838	24.4443316228719	25.7269229590091	18.831025556162	26.7855225125187	25.2842199887339
2-Mar	10.0598025593439	10.5365645694073	26.1252630266527	16.8139183116608	17.983124990789	18.8513947373175	18.0895682703393	24.7151725875649	47.2143958581389	39.0360555226317	49.4683059286493	25.7080322126199	27.9982332522088	36.5730500889731
3-Mar	4.00428245704306	4.9900689620812	6.31487255460894	4.5045751915565	4.38875314326256	6.52356280384579	7.37418713034411	6.38243080352263	14.5383068552223	7.43138301667359	6.90113800304146	9.14941474501286	7.1110420520752	8.93546920670522
4-Mar	0.0321800577573151	0.0292222619022963	0.0649040837451959	0.0785209385658357	0	0.0241988215450324	0.118480498463619	0.0241141968639692	0.111675060717105	0.157794599752797	0.0551992223245959	0.148484257327918	0.149848225246354	0.227216089343575
5-Mar	54.4784448248529	54.4016244283339	55.1983660832711	52.1501050681179	60.4446321950495	64.6383839604865	65.1065679340746	66.8257754618682	63.9463322982931	56.1698852735574	60.7163689096827	53.3327654692713	55.2527611041618	52.6156081444543
6-Mar	23.9119234880119	25.6970222431953	33.424493147929	31.2904297750109	29.6045945269326	27.7680618960309	34.3505213724761	32.2201345982591	34.8676701419489	37.7388185109336	42.4599909309602	34.6730230157404	32.9036297002402	39.9697787394599
7-Mar	55.7944401777677	53.6874887369021	66.7080438213584	76.9311450858009	81.7449103899192	66.8903756019854	80.9711487528768	76.4869562280125	72.806882875239	70.1600524226494	73.515757898634	59.4354664670191	65.0766098184367	69.2717619999751
8-Mar	12.8637023657207	12.439981187578	18.7924491934418	17.8053966000932	24.1458288276035	15.7215184962837	21.1363502438855	20.1047568447824	18.1810388977061	17.3845320266671	20.2281967499382	13.4545641552484	14.5376725353359	13.3779391709521
10-Mar	14.0753157883714	9.20275740772225	6.66687949882995	6.35314155610823	6.52250751187168	9.28415585425581	7.99261654521101	10.5372729357987	8.25919527766495	8.99581460923232	8.40185585610123	11.0482123164143	9.2049391546233	9.54227086217215
11-Mar	0	0.0866974625133756	0	0.0794842903400677	0	0.0767279032706702	0	0.512610993412551	0.260964646854498	0	0.0725468827292172	0.150305969795383	0.151686671860636	0.159575296065986
